image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.015547972172498703,117.83740234375,0.57421875,GuidedBackprop,vit-b-16,STL10,1
1,0.01722639612853527,117.83740234375,0.57421875,GuidedBackprop,vit-b-16,STL10,1
2,0.017093213042244315,117.83740234375,0.57421875,GuidedBackprop,vit-b-16,STL10,1
3,0.016664809081703424,117.83740234375,0.57421875,GuidedBackprop,vit-b-16,STL10,1
4,0.01672397297807038,117.83740234375,0.57421875,GuidedBackprop,vit-b-16,STL10,1
5,0.016800509998574853,117.83740234375,0.57421875,GuidedBackprop,vit-b-16,STL10,1
6,0.016656892141327262,117.83740234375,0.57421875,GuidedBackprop,vit-b-16,STL10,1
7,0.016806839033961296,117.83740234375,0.57421875,GuidedBackprop,vit-b-16,STL10,1
8,0.01610249700024724,117.83740234375,0.57421875,GuidedBackprop,vit-b-16,STL10,1
9,0.015392699046060443,117.83740234375,0.57421875,GuidedBackprop,vit-b-16,STL10,1
10,0.015119846910238266,117.83740234375,0.57421875,GuidedBackprop,vit-b-16,STL10,1
11,0.015160955023020506,117.83740234375,0.57421875,GuidedBackprop,vit-b-16,STL10,1
12,0.015274835983291268,117.83740234375,0.57421875,GuidedBackprop,vit-b-16,STL10,1
13,0.015314745949581265,117.83740234375,0.57421875,GuidedBackprop,vit-b-16,STL10,1
14,0.015179301146417856,117.83740234375,0.57421875,GuidedBackprop,vit-b-16,STL10,1
15,0.015163414180278778,117.83740234375,0.57421875,GuidedBackprop,vit-b-16,STL10,1
16,0.015265264082700014,117.83740234375,0.57421875,GuidedBackprop,vit-b-16,STL10,1
17,0.015334848081693053,117.83740234375,0.57421875,GuidedBackprop,vit-b-16,STL10,1
18,0.01577070588245988,117.83740234375,0.57421875,GuidedBackprop,vit-b-16,STL10,1
19,0.015313900075852871,117.83740234375,0.57421875,GuidedBackprop,vit-b-16,STL10,1
20,0.015273673925548792,117.83740234375,0.57421875,GuidedBackprop,vit-b-16,STL10,1
21,0.01547977002337575,117.83740234375,0.57421875,GuidedBackprop,vit-b-16,STL10,1
22,0.015274144010618329,117.83740234375,0.57421875,GuidedBackprop,vit-b-16,STL10,1
23,0.015440849121659994,117.83740234375,0.57421875,GuidedBackprop,vit-b-16,STL10,1
24,0.015350737143307924,117.83740234375,0.57421875,GuidedBackprop,vit-b-16,STL10,1
25,0.015284223947674036,117.83740234375,0.57421875,GuidedBackprop,vit-b-16,STL10,1
26,0.016457177931442857,117.83740234375,0.57421875,GuidedBackprop,vit-b-16,STL10,1
27,0.015526872128248215,117.83740234375,0.57421875,GuidedBackprop,vit-b-16,STL10,1
28,0.015479617053642869,117.83740234375,0.57421875,GuidedBackprop,vit-b-16,STL10,1
29,0.015306903049349785,117.83740234375,0.57421875,GuidedBackprop,vit-b-16,STL10,1
