image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.2069433629512787,117.2490234375,1.1484375,InputXGradient,convnext-t,CIFAR10,1
1,0.19066490978002548,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
2,0.18934156000614166,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
3,0.20813118293881416,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
4,0.18938631936907768,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
5,0.19046059995889664,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
6,0.20054878294467926,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
7,0.18736208230257034,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
8,0.19068055972456932,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
9,0.1902860477566719,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
10,0.1881946437060833,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
11,0.18783817067742348,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
12,0.18310166895389557,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
13,0.1861090511083603,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
14,0.1915971264243126,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
15,0.19065602123737335,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
16,0.18353745341300964,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
17,0.18626423925161362,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
18,0.18845131248235703,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
19,0.1881726160645485,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
20,0.1887228675186634,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
21,0.18255705758929253,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
22,0.18074305728077888,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
23,0.21034051105380058,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
24,0.18744342401623726,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
25,0.1889285072684288,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
26,0.18027783557772636,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
27,0.18403464183211327,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
28,0.1956903077661991,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
29,0.18888826295733452,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
30,0.18886436522006989,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
31,0.18423791602253914,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
32,0.18634798005223274,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
33,0.18973568454384804,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
34,0.18911484256386757,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
35,0.18792744725942612,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
36,0.17918726056814194,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
37,0.18193268030881882,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
38,0.19020256400108337,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
39,0.19131368398666382,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
40,0.19058287516236305,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
41,0.18654963374137878,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
42,0.18401715904474258,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
43,0.18995747342705727,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
44,0.1884969137609005,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
45,0.18674087524414062,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
46,0.18375447019934654,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
47,0.18800516799092293,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
48,0.19162367284297943,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
49,0.18973341956734657,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
50,0.1916792057454586,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
51,0.18398086726665497,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
52,0.185556098818779,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
53,0.19016721844673157,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
54,0.19163528829813004,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
55,0.19087374955415726,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
56,0.18778272718191147,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
57,0.1847689263522625,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
58,0.2025342546403408,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
59,0.1895916536450386,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
60,0.18626929074525833,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
61,0.1949639990925789,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
62,0.19001224264502525,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
63,0.19117262959480286,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
64,0.19059154018759727,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
65,0.18241847679018974,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
66,0.19810185953974724,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
67,0.19130154699087143,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
68,0.19144706055521965,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
69,0.18841683864593506,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
70,0.18807457014918327,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
71,0.1903262957930565,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
72,0.19119078665971756,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
73,0.18538851663470268,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
74,0.18439600616693497,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
75,0.18533692881464958,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
76,0.19038981571793556,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
77,0.19061871990561485,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
78,0.18493670225143433,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
79,0.18712584674358368,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
80,0.19388620182871819,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
81,0.18929767608642578,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
82,0.19001339375972748,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
83,0.18661613017320633,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
84,0.1817351132631302,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
85,0.1902044303715229,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
86,0.19169175997376442,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
87,0.18981784209609032,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
88,0.19171299412846565,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
89,0.1923050805926323,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
90,0.1905808448791504,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
91,0.18908219039440155,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
92,0.18439992144703865,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
93,0.18274349719285965,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
94,0.1904320791363716,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
95,0.19065752252936363,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
96,0.19010092318058014,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
97,0.18399376049637794,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
98,0.19637298583984375,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
99,0.1913341023027897,117.3154296875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
