image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.19083311036229134,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
1,0.19021761044859886,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
2,0.1905844286084175,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
3,0.19000785425305367,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
4,0.19021650403738022,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
5,0.1904226504266262,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
6,0.19016874954104424,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
7,0.1902020312845707,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
8,0.19006722047924995,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
9,0.19006025791168213,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
10,0.19042333960533142,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
11,0.1902376376092434,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
12,0.19006703048944473,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
13,0.19079963862895966,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
14,0.19029312953352928,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
15,0.18993563950061798,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
16,0.19047361239790916,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
17,0.18983404710888863,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
18,0.19013401493430138,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
19,0.18971877917647362,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
20,0.18953761830925941,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
21,0.18890316039323807,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
22,0.19025057926774025,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
23,0.18958387896418571,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
24,0.1899154894053936,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
25,0.18849829956889153,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
26,0.18995750322937965,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
27,0.1894722506403923,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
28,0.19031736254692078,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
29,0.1899961642920971,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
30,0.18821782991290092,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
31,0.19030024856328964,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
32,0.1902572475373745,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
33,0.1905244030058384,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
34,0.1899377703666687,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
35,0.190451268106699,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
36,0.18976866826415062,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
37,0.19014395400881767,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
38,0.19058531150221825,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
39,0.19038664177060127,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
40,0.18698100000619888,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
41,0.18938090652227402,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
42,0.18823214247822762,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
43,0.18792078644037247,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
44,0.19010242819786072,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
45,0.18994664028286934,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
46,0.1873439997434616,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
47,0.1901489980518818,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
48,0.19042422249913216,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
49,0.18780303746461868,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
50,0.1903562918305397,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
51,0.1902567334473133,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
52,0.19005099311470985,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
53,0.19094454869627953,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
54,0.1903255470097065,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
55,0.1907224804162979,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
56,0.19038371369242668,114.3935546875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
