image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.009558624820783734,118.05615234375,1.1484375,InputXGradient,convnext-t,CIFAR10,1
1,0.009835037868469954,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
2,0.009689514059573412,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
3,0.009528905851766467,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
4,0.009470007149502635,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
5,0.009475693106651306,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
6,0.009488676907494664,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
7,0.0094569840002805,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
8,0.00951143098063767,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
9,0.009683544980362058,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
10,0.009465207811444998,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
11,0.00971560599282384,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
12,0.009796383092179894,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
13,0.009588320041075349,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
14,0.009635969996452332,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
15,0.009682106785476208,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
16,0.009880369063466787,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
17,0.00983060896396637,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
18,0.01062522898428142,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
19,0.010276617016643286,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
20,0.009702655952423811,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
21,0.009594528935849667,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
22,0.009570080088451505,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
23,0.00958570302464068,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
24,0.009448225144296885,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
25,0.009445426054298878,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
26,0.00940192979760468,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
27,0.009474828839302063,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
28,0.009478858904913068,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
29,0.009437896078452468,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
30,0.009727183962240815,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
31,0.009416586952283978,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
32,0.00989405601285398,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
33,0.009586020838469267,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
34,0.00956868496723473,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
35,0.009365480858832598,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
36,0.009416978107765317,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
37,0.009535594144836068,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
38,0.009512462886050344,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
39,0.011518742190673947,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
40,0.011036672862246633,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
41,0.00975386193022132,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
42,0.009675461100414395,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
43,0.009684272110462189,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
44,0.009704859927296638,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
45,0.009699506917968392,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
46,0.009668743936344981,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
47,0.00968621508218348,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
48,0.009669716004282236,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
49,0.00969073292799294,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
50,0.00996266514994204,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
51,0.009727299911901355,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
52,0.00955673516727984,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
53,0.009445596020668745,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
54,0.009421488968655467,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
55,0.00945998914539814,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
56,0.009586445055902004,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
57,0.010066701099276543,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
58,0.00959050189703703,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
59,0.00948154297657311,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
60,0.009505604859441519,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
61,0.009547116002067924,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
62,0.009556510020047426,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
63,0.00946386600844562,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
64,0.009565363172441721,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
65,0.009588028071448207,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
66,0.009683351963758469,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
67,0.009490129072219133,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
68,0.00949913403019309,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
69,0.010620868997648358,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
70,0.009855465032160282,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
71,0.009638373972848058,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
72,0.009587917011231184,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
73,0.00956567283719778,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
74,0.009648422012105584,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
75,0.00956343999132514,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
76,0.009578758850693703,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
77,0.00956641510128975,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
78,0.009591465117409825,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
79,0.009565880987793207,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
80,0.009525173110887408,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
81,0.00949908816255629,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
82,0.00948341004550457,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
83,0.009449537144973874,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
84,0.009423054987564683,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
85,0.009593707975000143,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
86,0.009542755084112287,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
87,0.00949777290225029,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
88,0.009493122110143304,116.9091796875,1.1484375,InputXGradient,convnext-t,CIFAR10,1
