image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.015588345006108284,114.5068359375,1.1484375,InputXGradient,convnext-t,ImageNet,1
1,0.016683310037478805,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
2,0.016942164860665798,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
3,0.015470587182790041,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
4,0.011504748836159706,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
5,0.010025629075244069,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
6,0.009907562052831054,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
7,0.010216953931376338,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
8,0.010031547164544463,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
9,0.009885144885629416,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
10,0.009933477034792304,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
11,0.010090616066008806,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
12,0.00983353704214096,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
13,0.0098219970241189,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
14,0.00986146298237145,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
15,0.009823102038353682,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
16,0.00982683408074081,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
17,0.009842752944678068,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
18,0.010117975063621998,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
19,0.00991024193353951,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
20,0.009883400984108448,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
21,0.009792644996196032,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
22,0.00988229108043015,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
23,0.009883092949166894,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
24,0.009999679867178202,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
25,0.009979834081605077,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
26,0.009938519913703203,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
27,0.009887981927022338,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
28,0.009838602039963007,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
29,0.010794611182063818,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
30,0.011128657031804323,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
31,0.011088298866525292,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
32,0.010788114042952657,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
33,0.010703203035518527,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
34,0.010939078871160746,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
35,0.010789298918098211,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
36,0.011011151829734445,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
37,0.010794511996209621,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
38,0.010898970998823643,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
39,0.010860189097002149,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
40,0.010898567968979478,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
41,0.010792035143822432,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
42,0.010834665037691593,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
43,0.010839894879609346,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
44,0.010763108963146806,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
45,0.010756186908110976,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
46,0.010785775957629085,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
47,0.010769248940050602,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
48,0.010811425978317857,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
49,0.010807245038449764,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
50,0.01078807096928358,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
51,0.010780172888189554,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
52,0.010791926179081202,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
53,0.010737122967839241,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
54,0.010771377012133598,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
55,0.010281627997756004,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
56,0.010131401009857655,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
57,0.010407695779576898,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
58,0.010131166083738208,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
59,0.009939400013536215,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
60,0.009920655051246285,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
61,0.00992581993341446,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
62,0.010324036004021764,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
63,0.010610165074467659,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
64,0.01043409714475274,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
65,0.010051872814074159,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
66,0.010001480113714933,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
67,0.009944059187546372,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
68,0.009990099119022489,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
69,0.010004895040765405,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
70,0.010014455998316407,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
71,0.009908823063597083,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
72,0.009917338844388723,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
73,0.00995762087404728,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
74,0.010000601876527071,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
75,0.010099699022248387,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
76,0.009933823021128774,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
77,0.009923712816089392,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
78,0.009934797883033752,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
79,0.009927550097927451,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
80,0.009896670933812857,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
81,0.009880169061943889,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
82,0.009955044835805893,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
83,0.00981836300343275,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
84,0.00975060393102467,113.2998046875,1.1484375,InputXGradient,convnext-t,ImageNet,1
