image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.18890589848160744,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
1,0.1896926760673523,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
2,0.19089529663324356,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
3,0.18928566947579384,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
4,0.19027746468782425,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
5,0.19071561098098755,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
6,0.1903570555150509,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
7,0.19038226082921028,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
8,0.19055495038628578,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
9,0.12551295012235641,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
10,0.09771597385406494,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
11,0.08564312756061554,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
12,0.09564831852912903,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
13,0.09703081101179123,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
14,0.09957436099648476,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
15,0.08352092280983925,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
16,0.08575867861509323,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
17,0.08431842923164368,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
18,0.08834545686841011,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
19,0.08552959188818932,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
20,0.08243788033723831,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
21,0.08578959852457047,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
22,0.09839807450771332,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
23,0.08686313405632973,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
24,0.09095260500907898,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
25,0.08811771497130394,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
26,0.09685831144452095,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
27,0.09024746716022491,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
28,0.08308593183755875,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
29,0.09351887926459312,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
30,0.0908522754907608,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
31,0.09076317772269249,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
32,0.08999695628881454,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
33,0.087026197463274,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
34,0.08912936598062515,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
35,0.09909491240978241,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
36,0.0886085219681263,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
37,0.09581276029348373,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
38,0.08624490350484848,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
39,0.08870124444365501,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
40,0.084617979824543,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
41,0.09510421380400658,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
42,0.09331322833895683,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
43,0.09392017126083374,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
44,0.08752340823411942,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
45,0.08164183050394058,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
46,0.08912425115704536,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
47,0.0902879349887371,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
48,0.09663968905806541,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
49,0.08940078318119049,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
50,0.09942052513360977,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
51,0.08254734799265862,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
52,0.08184882625937462,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
53,0.08701328188180923,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
54,0.08503758907318115,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
55,0.09161130711436272,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
56,0.10396207496523857,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
57,0.1533813588321209,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
58,0.15081392601132393,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
59,0.1397036761045456,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
60,0.12821504846215248,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
61,0.15443138033151627,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
62,0.09914886951446533,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
63,0.09802648797631264,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
64,0.10787546634674072,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
65,0.11730966344475746,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
66,0.1325419284403324,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
67,0.10957415774464607,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
68,0.08901422843337059,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
69,0.09672929346561432,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
70,0.0964483916759491,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
71,0.094872385263443,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
72,0.0948922261595726,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
73,0.09306297078728676,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
74,0.10024989396333694,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
75,0.10251908749341965,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
76,0.08919863775372505,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
77,0.08936690539121628,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
78,0.09810402244329453,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
79,0.08533418923616409,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
80,0.09015616774559021,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
81,0.08202710747718811,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
82,0.08397981524467468,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
83,0.09544621780514717,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
84,0.09051640331745148,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
85,0.08638980612158775,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
86,0.09189380332827568,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
87,0.08694814518094063,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
88,0.1357010155916214,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
89,0.15497852116823196,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
90,0.1609388329088688,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
91,0.19004586711525917,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
92,0.1906924657523632,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
93,0.19008740410208702,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
94,0.19058724120259285,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
95,0.19075405597686768,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
96,0.19039861112833023,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
97,0.19073547422885895,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
98,0.18821275234222412,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
99,0.1904965415596962,114.9521484375,1.1484375,InputXGradient,convnext-t,STL10,1
