image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.00946176191791892,114.20068359375,1.1484375,InputXGradient,convnext-t,STL10,1
1,0.010234435088932514,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
2,0.01020771311596036,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
3,0.010127129964530468,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
4,0.010779900010675192,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
5,0.010150466114282608,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
6,0.010034936014562845,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
7,0.009989396203309298,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
8,0.01009625499136746,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
9,0.01000710902735591,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
10,0.010103063890710473,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
11,0.010377231985330582,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
12,0.010085005080327392,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
13,0.010245410026982427,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
14,0.010315370047464967,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
15,0.011573412921279669,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
16,0.010134963085874915,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
17,0.010235620895400643,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
18,0.01088571990840137,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
19,0.010228666011244059,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
20,0.010119551094248891,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
21,0.010163925820961595,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
22,0.010076223872601986,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
23,0.010103408014401793,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
24,0.010118669830262661,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
25,0.010135441087186337,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
26,0.010091186966747046,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
27,0.010169197106733918,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
28,0.010096319019794464,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
29,0.010119283106178045,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
30,0.010084284003823996,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
31,0.010197401978075504,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
32,0.010189283872023225,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
33,0.010109346825629473,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
34,0.010176271200180054,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
35,0.010008283890783787,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
36,0.010086392983794212,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
37,0.009984649950638413,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
38,0.010033244034275413,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
39,0.010073801036924124,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
40,0.010122362989932299,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
41,0.010055185994133353,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
42,0.010402237065136433,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
43,0.010053002974018455,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
44,0.010008550016209483,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
45,0.010053479811176658,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
46,0.009973454056307673,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
47,0.01259704097174108,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
48,0.011771646095439792,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
49,0.010383638087660074,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
50,0.010538156144320965,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
51,0.010342554887756705,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
52,0.010254236869513988,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
53,0.010282859904691577,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
54,0.010238942923024297,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
55,0.010231499094516039,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
56,0.010155922966077924,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
57,0.010147429071366787,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
58,0.010080870008096099,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
59,0.010116485180333257,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
60,0.01022366899996996,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
61,0.010124671971425414,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
62,0.01008482207544148,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
63,0.010326072108000517,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
64,0.010269124992191792,113.6904296875,1.1484375,InputXGradient,convnext-t,STL10,1
