image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.06825421750545502,129.07421875,1.1484375,InputXGradient,densenet121,CIFAR10,1
1,0.0709507167339325,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
2,0.07250802591443062,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
3,0.0719185583293438,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
4,0.06819889321923256,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
5,0.07039817050099373,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
6,0.06580160185694695,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
7,0.07011471316218376,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
8,0.07008728012442589,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
9,0.06941404938697815,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
10,0.06812936067581177,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
11,0.07073143124580383,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
12,0.07152366638183594,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
13,0.07098086550831795,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
14,0.07042904570698738,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
15,0.07030772417783737,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
16,0.07040667906403542,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
17,0.07158201560378075,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
18,0.07197200879454613,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
19,0.07035989686846733,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
20,0.069336649030447,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
21,0.07093844935297966,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
22,0.07031978666782379,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
23,0.0700841136276722,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
24,0.07082134857773781,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
25,0.06881142035126686,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
26,0.07082656398415565,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
27,0.07482141256332397,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
28,0.055646270513534546,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
29,0.061178483068943024,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
30,0.07113068550825119,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
31,0.0707501471042633,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
32,0.06733647361397743,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
33,0.0707584097981453,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
34,0.06556964293122292,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
35,0.07051674276590347,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
36,0.06690925732254982,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
37,0.06557784974575043,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
38,0.06521137431263924,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
39,0.06564687192440033,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
40,0.06508822739124298,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
41,0.06537692621350288,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
42,0.06169315055012703,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
43,0.06429998576641083,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
44,0.06498483940958977,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
45,0.06608360260725021,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
46,0.06615672633051872,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
47,0.06592878326773643,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
48,0.06770970299839973,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
49,0.07712971791625023,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
50,0.06826736032962799,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
51,0.07102954015135765,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
52,0.06613389402627945,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
53,0.07094273716211319,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
54,0.06430328264832497,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
55,0.072339728474617,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
56,0.06597229838371277,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
57,0.06645741313695908,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
58,0.06632928177714348,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
59,0.06578440219163895,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
60,0.06124039739370346,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
61,0.06498580053448677,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
62,0.06083886697888374,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
63,0.06867668777704239,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
64,0.06669702753424644,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
65,0.0657075047492981,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
66,0.06290154531598091,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
67,0.06840324401855469,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
68,0.07040909677743912,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
69,0.07603275775909424,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
70,0.06752794981002808,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
71,0.06753730028867722,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
72,0.06511218473315239,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
73,0.0648791678249836,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
74,0.06677484884858131,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
75,0.06489553302526474,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
76,0.07081568613648415,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
77,0.06708856299519539,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
78,0.06773839518427849,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
79,0.06684621050953865,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
80,0.06466580927371979,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
81,0.06925654038786888,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
82,0.06891047954559326,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
83,0.06796037778258324,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
84,0.06340931728482246,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
85,0.06683208048343658,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
86,0.06659526005387306,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
87,0.06596341729164124,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
88,0.06627769768238068,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
89,0.06704386696219444,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
90,0.06856624037027359,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
91,0.06923677772283554,128.16015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
