image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.03149446984753013,253.166015625,1.1484375,InputXGradient,densenet121,CIFAR10,1
1,0.032185282092541456,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
2,0.03190681501291692,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
3,0.032207865035161376,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
4,0.03241359302774072,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
5,0.03214902011677623,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
6,0.03189606312662363,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
7,0.03173583000898361,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
8,0.032105793012306094,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
9,0.031742912949994206,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
10,0.03173158806748688,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
11,0.03171173110604286,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
12,0.03267647488974035,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
13,0.033484211191534996,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
14,0.034026399021968246,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
15,0.03375143092125654,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
16,0.033952269004657865,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
17,0.033998845145106316,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
18,0.033779295859858394,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
19,0.033696367871016264,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
20,0.033861747942864895,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
21,0.042475440073758364,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
22,0.03205358004197478,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
23,0.03203962882980704,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
24,0.0320425049867481,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
25,0.03272415907122195,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
26,0.031926343217492104,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
27,0.03275337116792798,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
28,0.03151592705398798,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
29,0.03147497703321278,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
30,0.03149256715551019,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
31,0.03191971220076084,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
32,0.03194160503335297,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
33,0.03145456500351429,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
34,0.0315842020791024,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
35,0.031700732884928584,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
36,0.03191021899692714,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
37,0.03178468602709472,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
38,0.03133689099922776,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
39,0.03209701692685485,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
40,0.03142663091421127,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
41,0.0320817029569298,252.6875,1.1484375,InputXGradient,densenet121,CIFAR10,1
