image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.08750930428504944,129.1875,1.1484375,InputXGradient,densenet121,ImageNet,1
1,0.10363854095339775,129.1875,1.1484375,InputXGradient,densenet121,ImageNet,1
2,0.1251860447227955,129.1875,1.1484375,InputXGradient,densenet121,ImageNet,1
3,0.0955292172729969,129.1875,1.1484375,InputXGradient,densenet121,ImageNet,1
4,0.13360250368714333,129.1875,1.1484375,InputXGradient,densenet121,ImageNet,1
5,0.08864637091755867,129.1875,1.1484375,InputXGradient,densenet121,ImageNet,1
6,0.08993282169103622,129.1875,1.1484375,InputXGradient,densenet121,ImageNet,1
7,0.11261315643787384,129.1875,1.1484375,InputXGradient,densenet121,ImageNet,1
8,0.08524570614099503,129.1875,1.1484375,InputXGradient,densenet121,ImageNet,1
9,0.08790267631411552,129.1875,1.1484375,InputXGradient,densenet121,ImageNet,1
10,0.09475735202431679,129.1875,1.1484375,InputXGradient,densenet121,ImageNet,1
11,0.12284033372998238,129.1875,1.1484375,InputXGradient,densenet121,ImageNet,1
12,0.09229319542646408,129.1875,1.1484375,InputXGradient,densenet121,ImageNet,1
13,0.08714992552995682,129.1875,1.1484375,InputXGradient,densenet121,ImageNet,1
14,0.09470556676387787,129.1875,1.1484375,InputXGradient,densenet121,ImageNet,1
15,0.11710946261882782,129.1875,1.1484375,InputXGradient,densenet121,ImageNet,1
16,0.08350894972681999,129.1875,1.1484375,InputXGradient,densenet121,ImageNet,1
17,0.08844606578350067,129.1875,1.1484375,InputXGradient,densenet121,ImageNet,1
18,0.09539321064949036,129.1875,1.1484375,InputXGradient,densenet121,ImageNet,1
19,0.08610678091645241,129.1875,1.1484375,InputXGradient,densenet121,ImageNet,1
20,0.08951842784881592,129.1875,1.1484375,InputXGradient,densenet121,ImageNet,1
21,0.13047628849744797,129.1875,1.1484375,InputXGradient,densenet121,ImageNet,1
22,0.1007721833884716,129.1875,1.1484375,InputXGradient,densenet121,ImageNet,1
