image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.09336499869823456,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
1,0.09621825814247131,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
2,0.1290403977036476,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
3,0.09248888120055199,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
4,0.1026705913245678,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
5,0.14234548434615135,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
6,0.1043613962829113,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
7,0.14583975821733475,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
8,0.11303826794028282,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
9,0.12426220998167992,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
10,0.11242275312542915,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
11,0.13438306003808975,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
12,0.1489805281162262,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
13,0.11633053049445152,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
14,0.133858785033226,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
15,0.11148092523217201,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
16,0.10167744755744934,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
17,0.09173708781599998,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
18,0.11454789340496063,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
19,0.12893610075116158,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
20,0.10854637622833252,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
21,0.13184436783194542,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
22,0.12976009398698807,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
23,0.10602587088942528,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
24,0.10477600619196892,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
25,0.1190190315246582,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
26,0.10228420421481133,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
27,0.0892801359295845,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
28,0.12598612159490585,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
29,0.11535028740763664,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
30,0.11106690764427185,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
31,0.09012515842914581,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
32,0.10547534748911858,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
33,0.10136754438281059,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
34,0.13289453834295273,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
35,0.09883416071534157,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
36,0.11765248328447342,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
37,0.09984957054257393,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
38,0.09047140181064606,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
39,0.09847963601350784,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
40,0.11134186387062073,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
41,0.0946522168815136,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
42,0.08904670551419258,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
43,0.09463445469737053,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
44,0.10786382481455803,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
45,0.09152261540293694,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
46,0.08898679167032242,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
47,0.09295495226979256,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
48,0.1014457605779171,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
49,0.12984385713934898,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
50,0.09101138263940811,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
51,0.09799592569470406,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
52,0.10005523264408112,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
53,0.08638798072934151,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
54,0.10664984211325645,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
55,0.10569435358047485,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
56,0.12980741262435913,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
57,0.10457335039973259,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
58,0.10521408170461655,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
59,0.12698843330144882,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
60,0.08790498599410057,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
61,0.11982215940952301,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
62,0.12840554863214493,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
63,0.12531806528568268,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
64,0.0940125472843647,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
65,0.09037504345178604,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
66,0.09464110806584358,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
67,0.1408819928765297,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
68,0.12060362845659256,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
69,0.11508326604962349,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
70,0.10598737746477127,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
71,0.12917885556817055,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
72,0.09530752524733543,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
73,0.10508304089307785,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
74,0.08967603743076324,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
75,0.09690604731440544,129.1875,1.1484375,InputXGradient,densenet121,STL10,1
