image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.030552914831787348,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
1,0.0312977668363601,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
2,0.031268373830243945,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
3,0.030938297044485807,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
4,0.031671629985794425,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
5,0.030822802800685167,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
6,0.0315392161719501,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
7,0.031144869048148394,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
8,0.031170494854450226,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
9,0.031041836831718683,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
10,0.03095728508196771,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
11,0.03105449303984642,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
12,0.031011797953397036,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
13,0.03073850693181157,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
14,0.03134062699973583,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
15,0.030901883961632848,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
16,0.030756334075704217,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
17,0.030697513837367296,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
18,0.03127653896808624,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
19,0.031125940149649978,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
20,0.0311891611199826,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
21,0.030874673975631595,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
22,0.03124015685170889,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
23,0.031030562007799745,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
24,0.031124931061640382,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
25,0.03093175101093948,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
26,0.031138526974245906,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
27,0.030957929091528058,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
28,0.030820471001788974,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
29,0.03076495206914842,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
30,0.03134727291762829,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
31,0.03070746106095612,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
32,0.031145461136475205,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
33,0.030857797944918275,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
34,0.03192612901329994,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
35,0.03154276008717716,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
36,0.03146479604765773,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
37,0.03144993097521365,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
38,0.03160394378937781,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
39,0.030921353958547115,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
40,0.032809183932840824,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
41,0.03234889614395797,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
42,0.03212661505676806,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
43,0.03135761106386781,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
44,0.032839972991496325,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
45,0.03171065100468695,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
46,0.03126350906677544,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
47,0.031056185020133853,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
48,0.030983180040493608,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
49,0.03078104299493134,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
50,0.03147267713211477,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
51,0.03126226901076734,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
52,0.03116803616285324,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
53,0.030996795976534486,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
54,0.031180318910628557,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
55,0.030869473004713655,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
56,0.03131957398727536,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
57,0.031369377160444856,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
58,0.031245480058714747,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
59,0.030947196064516902,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
60,0.03103475202806294,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
61,0.031445149099454284,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
62,0.03209030791185796,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
63,0.031224475940689445,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
64,0.031098001869395375,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
65,0.03101954609155655,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
66,0.03130732197314501,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
67,0.030797433806583285,252.943359375,1.1484375,InputXGradient,densenet121,STL10,1
