image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.06537139415740967,86.8408203125,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
1,0.04951133951544762,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
2,0.04375649616122246,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
3,0.05640345439314842,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
4,0.06396830081939697,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
5,0.04199381545186043,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
6,0.06399466842412949,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
7,0.06469626724720001,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
8,0.06786705181002617,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
9,0.06543887406587601,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
10,0.07082458958029747,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
11,0.04849258437752724,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
12,0.05521441251039505,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
13,0.05048491060733795,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
14,0.05857669562101364,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
15,0.06640369445085526,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
16,0.07413211092352867,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
17,0.07019151374697685,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
18,0.04656156152486801,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
19,0.04380280524492264,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
20,0.04523395374417305,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
21,0.04280642420053482,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
22,0.05648085102438927,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
23,0.05015004798769951,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
24,0.0623449981212616,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
25,0.06421095505356789,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
26,0.06394365057349205,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
27,0.066373810172081,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
28,0.06457438319921494,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
29,0.0480082705616951,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
30,0.06304611638188362,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
31,0.05007166415452957,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
32,0.0596289336681366,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
33,0.06908952072262764,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
34,0.06672198697924614,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
35,0.06048215925693512,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
36,0.04467165842652321,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
37,0.05139010027050972,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
38,0.045086104422807693,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
39,0.040003642439842224,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
40,0.04967710003256798,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
41,0.04658880457282066,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
42,0.06553373858332634,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
43,0.06670202314853668,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
44,0.056109700351953506,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
45,0.045412853360176086,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
46,0.06057717278599739,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
47,0.06673646718263626,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
48,0.06672956049442291,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
49,0.0505586713552475,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
50,0.04645558446645737,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
51,0.046424929052591324,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
52,0.04479988291859627,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
53,0.05588626116514206,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
54,0.06186394765973091,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
55,0.046878114342689514,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
56,0.04471893608570099,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
57,0.04826236516237259,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
58,0.05680155009031296,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
59,0.06950058788061142,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
60,0.06927505508065224,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
61,0.05210674926638603,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
62,0.06647378951311111,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
63,0.06768088042736053,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
64,0.07469085231423378,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
65,0.06727617606520653,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
66,0.05533343926072121,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
67,0.0465264767408371,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
68,0.06248261034488678,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
69,0.04861113429069519,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
70,0.04705791547894478,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
71,0.0423269048333168,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
72,0.04500928148627281,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
73,0.04453500732779503,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
74,0.04994632676243782,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
75,0.04294681176543236,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
76,0.04661490023136139,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
77,0.04580899327993393,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
78,0.057790275663137436,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
79,0.047265201807022095,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
80,0.052223723381757736,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
81,0.04647963494062424,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
82,0.04254680126905441,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
83,0.05217617377638817,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
84,0.04949192330241203,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
85,0.06066225841641426,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
86,0.06753980740904808,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
87,0.0671728141605854,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
88,0.052639398723840714,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
89,0.044345956295728683,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
90,0.045087940990924835,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
91,0.04581497237086296,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
92,0.0436670184135437,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
93,0.04612738639116287,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
94,0.04932256042957306,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
95,0.06060649827122688,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
96,0.048847876489162445,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
97,0.04435037821531296,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
98,0.05156978592276573,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
99,0.04390661045908928,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,CIFAR10,1
