image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.04463217407464981,85.1884765625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
1,0.0477282851934433,85.7041015625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
2,0.04349018260836601,85.7041015625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
3,0.04203858971595764,85.7041015625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
4,0.042817123234272,85.7041015625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
5,0.042763277888298035,85.7041015625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
6,0.04204140231013298,85.7041015625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
7,0.03879411518573761,85.7041015625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
8,0.04553234204649925,85.7041015625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
9,0.04230582341551781,85.7041015625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
10,0.04939216747879982,85.7041015625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
11,0.064334686845541,85.7041015625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
12,0.048057496547698975,85.7041015625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
13,0.05024988576769829,85.7041015625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
14,0.04422934725880623,85.7041015625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
15,0.04403997212648392,85.7041015625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
16,0.04292502626776695,85.7041015625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
17,0.05767984688282013,85.7041015625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
18,0.05593625456094742,85.7041015625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
19,0.06295396015048027,85.7041015625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
20,0.04404265061020851,85.7041015625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
21,0.045651912689208984,85.7041015625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
22,0.052321843802928925,85.7041015625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
23,0.05052608624100685,85.7041015625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
24,0.05132031440734863,85.7041015625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
25,0.041156332939863205,85.7041015625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
26,0.04077325016260147,85.7041015625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
27,0.04437423124909401,85.7041015625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
28,0.057155903428792953,85.7041015625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
29,0.04645634815096855,85.7041015625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
30,0.04557345062494278,85.7041015625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
31,0.048649225383996964,85.7041015625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
32,0.04095757007598877,85.7041015625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
33,0.0574139766395092,85.7041015625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
34,0.04098163917660713,85.7041015625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
35,0.05803951993584633,85.7041015625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
36,0.0607532262802124,85.7041015625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
