image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.02297264337539673,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
1,0.029109716415405273,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
2,0.029105249792337418,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
3,0.027949124574661255,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
4,0.02640068158507347,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
5,0.02676147222518921,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
6,0.026034627109766006,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
7,0.02942710369825363,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
8,0.0287461057305336,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
9,0.028097208589315414,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
10,0.027818311005830765,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
11,0.030000213533639908,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
12,0.025779955089092255,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
13,0.032112110406160355,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
14,0.026063859462738037,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
15,0.02571529522538185,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
16,0.0283457413315773,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
17,0.02863864228129387,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
18,0.02707178145647049,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
19,0.029766496270895004,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
20,0.04547963663935661,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
21,0.027461577206850052,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
22,0.028011329472064972,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
23,0.03259814903140068,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
24,0.029397986829280853,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
25,0.027650505304336548,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
26,0.025846019387245178,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
27,0.025338783860206604,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
28,0.028910022228956223,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
29,0.028701301664114,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
30,0.02670423686504364,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
31,0.02550656720995903,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
32,0.02894500270485878,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
33,0.02712055668234825,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
34,0.024191919714212418,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
35,0.030265655368566513,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
36,0.026620574295520782,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
37,0.031093768775463104,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
38,0.027581412345170975,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
39,0.026964977383613586,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
40,0.02669493481516838,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
41,0.02788018435239792,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
42,0.031078454107046127,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
43,0.027383122593164444,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
44,0.02622656151652336,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
45,0.029149185866117477,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
46,0.030288703739643097,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
47,0.028095267713069916,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
48,0.026304345577955246,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
49,0.0255989208817482,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
50,0.029605604708194733,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
51,0.027211487293243408,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
52,0.02673102170228958,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
53,0.026341430842876434,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
54,0.03155629709362984,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
55,0.026310492306947708,85.5556640625,1.1484375,InputXGradient,efficientnet-b0,ImageNet,1
