image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.02799507975578308,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
1,0.030548274517059326,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
2,0.030709542334079742,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
3,0.037532590329647064,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
4,0.031298235058784485,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
5,0.02733151987195015,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
6,0.028968647122383118,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
7,0.029735390096902847,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
8,0.0251169353723526,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
9,0.027989674359560013,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
10,0.03548438102006912,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
11,0.0342787429690361,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
12,0.026971761137247086,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
13,0.03656438738107681,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
14,0.029859691858291626,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
15,0.03029218316078186,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
16,0.02787046507000923,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
17,0.02441084384918213,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
18,0.028089813888072968,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
19,0.028009280562400818,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
20,0.031296584755182266,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
21,0.030172720551490784,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
22,0.04250262305140495,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
23,0.04142921045422554,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
24,0.04284696653485298,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
25,0.03423140570521355,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
26,0.030931930989027023,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
27,0.04430583119392395,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
28,0.02971523255109787,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
29,0.03719142824411392,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
30,0.029853709042072296,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
31,0.03993091359734535,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
32,0.03029792383313179,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
33,0.02601495385169983,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
34,0.027780111879110336,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
35,0.040020186454057693,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
36,0.03313334286212921,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
37,0.02995145320892334,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
38,0.029327392578125,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
39,0.026299744844436646,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
40,0.02748129516839981,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
41,0.04755811393260956,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
42,0.026631496846675873,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
43,0.029794208705425262,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
44,0.032857496291399,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
45,0.031110074371099472,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
46,0.04223841056227684,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
47,0.03898393735289574,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
48,0.03423692658543587,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
49,0.03370894119143486,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
50,0.031674809753894806,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
51,0.033868201076984406,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
52,0.030853647738695145,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
53,0.026564981788396835,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
54,0.04219094663858414,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
55,0.03520553931593895,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
56,0.04810512438416481,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
57,0.04096496105194092,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
58,0.025514278560876846,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
59,0.032585419714450836,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
60,0.030960455536842346,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
61,0.04055197164416313,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
62,0.04005536809563637,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
63,0.04293325915932655,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
64,0.03429273143410683,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
65,0.03670292720198631,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
66,0.038022689521312714,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
67,0.0431535579264164,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
68,0.03998837620019913,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
69,0.03570016846060753,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
70,0.033317990601062775,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
71,0.03289083391427994,85.4580078125,1.1484375,InputXGradient,efficientnet-b0,STL10,1
