image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.0110105921048671,212.20556640625,1.1484375,InputXGradient,resnet50,CIFAR10,1
1,0.011720110196620226,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
2,0.011796073988080025,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
3,0.01177016505971551,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
4,0.011966340010985732,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
5,0.011682895012199879,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
6,0.011596285039559007,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
7,0.011662100907415152,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
8,0.011771983932703733,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
9,0.011901722056791186,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
10,0.011656570015475154,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
11,0.01178412209264934,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
12,0.011931070126593113,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
13,0.011952184839174151,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
14,0.011813142104074359,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
15,0.01171253202483058,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
16,0.011839392129331827,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
17,0.011765656992793083,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
18,0.011843379121273756,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
19,0.011763326125219464,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
20,0.011593661038205028,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
21,0.01169902691617608,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
22,0.011665120953693986,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
23,0.011670189909636974,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
24,0.011668751947581768,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
25,0.011573688127100468,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
26,0.011710928985849023,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
27,0.011806812137365341,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
28,0.011780431028455496,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
29,0.01211881684139371,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
30,0.01174300885759294,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
31,0.012486282968893647,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
32,0.01176041504368186,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
33,0.011762236012145877,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
34,0.011599401943385601,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
35,0.012862998060882092,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
36,0.012660667998716235,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
37,0.013480748049914837,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
38,0.012571017956361175,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
39,0.012341805966570973,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
40,0.012275810819119215,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
41,0.012185476021841168,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
42,0.012143690139055252,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
43,0.012043938972055912,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
44,0.011900824960321188,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
45,0.01229700492694974,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
46,0.012204178143292665,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
47,0.012162839062511921,212.01025390625,1.1484375,InputXGradient,resnet50,CIFAR10,1
