image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.04153885692358017,86.609375,1.1484375,InputXGradient,resnet50,ImageNet,1
1,0.04351320117712021,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
2,0.04047892615199089,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
3,0.03880675137042999,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
4,0.04090370237827301,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
5,0.03793909028172493,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
6,0.04008230194449425,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
7,0.03641483932733536,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
8,0.03567499294877052,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
9,0.035784121602773666,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
10,0.03490452468395233,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
11,0.034619878977537155,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
12,0.033020831644535065,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
13,0.03723497316241264,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
14,0.03525683656334877,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
15,0.038143590092659,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
16,0.03322378918528557,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
17,0.03841462358832359,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
18,0.030608288943767548,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
19,0.03537212684750557,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
20,0.03346716985106468,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
21,0.033855047076940536,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
22,0.03444351255893707,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
23,0.034538283944129944,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
24,0.03839104622602463,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
25,0.034635137766599655,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
26,0.03704846650362015,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
27,0.03491681441664696,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
28,0.03570619598031044,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
29,0.035799019038677216,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
30,0.03723118081688881,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
31,0.04096612334251404,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
32,0.03433825820684433,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
33,0.036978963762521744,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
34,0.03550142049789429,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
35,0.034047681838274,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
36,0.0314013697206974,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
37,0.0387754961848259,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
38,0.03571799024939537,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
39,0.03788027539849281,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
40,0.03211275488138199,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
41,0.035963594913482666,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
42,0.033636052161455154,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
43,0.03499399498105049,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
44,0.03433791920542717,86.015625,1.1484375,InputXGradient,resnet50,ImageNet,1
