image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.014636434614658356,111.212890625,1.1484375,InputXGradient,resnet50,ImageNet,1
1,0.016258902847766876,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
2,0.01533467322587967,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
3,0.015019603073596954,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
4,0.01480787992477417,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
5,0.014993194490671158,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
6,0.018503375351428986,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
7,0.023510411381721497,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
8,0.016404565423727036,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
9,0.01929507777094841,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
10,0.01564553752541542,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
11,0.015462089329957962,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
12,0.017706558108329773,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
13,0.019487157464027405,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
14,0.019059468060731888,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
15,0.017080236226320267,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
16,0.015524528920650482,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
17,0.018462948501110077,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
18,0.016719486564397812,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
19,0.01891224831342697,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
20,0.01727767288684845,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
21,0.020212769508361816,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
22,0.016289521008729935,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
23,0.016973964869976044,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
24,0.018724769353866577,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
25,0.01681571453809738,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
26,0.018474653363227844,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
27,0.019133999943733215,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
28,0.01779044419527054,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
29,0.01600121706724167,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
30,0.018001995980739594,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
31,0.015808816999197006,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
32,0.015246845781803131,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
33,0.018393557518720627,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
34,0.01700950786471367,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
35,0.018968861550092697,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
36,0.015452612191438675,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
37,0.017346814274787903,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
38,0.015516169369220734,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
39,0.01939210295677185,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
40,0.017709854990243912,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
41,0.02167099341750145,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
42,0.018492713570594788,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
43,0.01755201444029808,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
44,0.015260715037584305,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
45,0.018783289939165115,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
46,0.01583676040172577,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
47,0.016875553876161575,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
48,0.018078673630952835,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
49,0.016578733921051025,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
50,0.01600458472967148,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
51,0.017979271709918976,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
52,0.015863731503486633,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
53,0.01769007369875908,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
54,0.0168093703687191,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
55,0.021942131221294403,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
56,0.019437644630670547,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
57,0.02027418464422226,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
58,0.016635321080684662,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
59,0.014820009469985962,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
60,0.017570316791534424,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
61,0.02241363748908043,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
62,0.01615709438920021,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
63,0.015449188649654388,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
64,0.0171281136572361,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
65,0.022635456174612045,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
66,0.02225308120250702,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
67,0.015751797705888748,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
68,0.017372827976942062,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
69,0.01844823732972145,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
70,0.01729753613471985,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
71,0.016181010752916336,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
72,0.018358614295721054,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
73,0.017072390764951706,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
74,0.01616445928812027,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
75,0.01697654277086258,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
76,0.016409531235694885,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
77,0.018094200640916824,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
78,0.017008516937494278,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
79,0.018612060695886612,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
80,0.018116921186447144,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
81,0.018011126667261124,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
82,0.01729707047343254,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
83,0.016162265092134476,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
84,0.01824658364057541,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
85,0.017064716666936874,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
86,0.016367226839065552,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
87,0.01671534776687622,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
88,0.019611071795225143,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
89,0.017937976866960526,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
90,0.01614619791507721,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
91,0.019355710595846176,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
92,0.01752738282084465,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
93,0.018392082303762436,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
94,0.015468686819076538,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
95,0.016927193850278854,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
96,0.016069617122411728,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
97,0.018332000821828842,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
98,0.016084201633930206,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
99,0.019471287727355957,110.423828125,1.1484375,InputXGradient,resnet50,ImageNet,1
