image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.00935581186786294,210.94775390625,1.1484375,InputXGradient,resnet50,ImageNet,1
1,0.009826387045904994,210.90478515625,1.1484375,InputXGradient,resnet50,ImageNet,1
2,0.009710453916341066,210.90478515625,1.1484375,InputXGradient,resnet50,ImageNet,1
3,0.009775076061487198,210.90478515625,1.1484375,InputXGradient,resnet50,ImageNet,1
4,0.01009345892816782,210.90478515625,1.1484375,InputXGradient,resnet50,ImageNet,1
5,0.01057469006627798,210.90478515625,1.1484375,InputXGradient,resnet50,ImageNet,1
6,0.010470191948115826,210.90478515625,1.1484375,InputXGradient,resnet50,ImageNet,1
7,0.009900544071570039,210.90478515625,1.1484375,InputXGradient,resnet50,ImageNet,1
8,0.00984049797989428,210.90478515625,1.1484375,InputXGradient,resnet50,ImageNet,1
9,0.009778769221156836,210.90478515625,1.1484375,InputXGradient,resnet50,ImageNet,1
10,0.009860675083473325,210.90478515625,1.1484375,InputXGradient,resnet50,ImageNet,1
11,0.009854492964223027,210.90478515625,1.1484375,InputXGradient,resnet50,ImageNet,1
12,0.009584139101207256,210.90478515625,1.1484375,InputXGradient,resnet50,ImageNet,1
13,0.009556051110848784,210.90478515625,1.1484375,InputXGradient,resnet50,ImageNet,1
14,0.009593490976840258,210.90478515625,1.1484375,InputXGradient,resnet50,ImageNet,1
15,0.009572764858603477,210.90478515625,1.1484375,InputXGradient,resnet50,ImageNet,1
16,0.009507554117590189,210.90478515625,1.1484375,InputXGradient,resnet50,ImageNet,1
17,0.00935173500329256,210.90478515625,1.1484375,InputXGradient,resnet50,ImageNet,1
18,0.009343864163383842,210.90478515625,1.1484375,InputXGradient,resnet50,ImageNet,1
19,0.009352884022518992,210.90478515625,1.1484375,InputXGradient,resnet50,ImageNet,1
20,0.009414430940523744,210.90478515625,1.1484375,InputXGradient,resnet50,ImageNet,1
21,0.009471265133470297,210.90478515625,1.1484375,InputXGradient,resnet50,ImageNet,1
22,0.009653602028265595,210.90478515625,1.1484375,InputXGradient,resnet50,ImageNet,1
23,0.009436271153390408,210.90478515625,1.1484375,InputXGradient,resnet50,ImageNet,1
24,0.009322119876742363,210.90478515625,1.1484375,InputXGradient,resnet50,ImageNet,1
25,0.009557126089930534,210.90478515625,1.1484375,InputXGradient,resnet50,ImageNet,1
26,0.00940986000932753,210.90478515625,1.1484375,InputXGradient,resnet50,ImageNet,1
27,0.009516353020444512,210.90478515625,1.1484375,InputXGradient,resnet50,ImageNet,1
28,0.009536599041894078,210.90478515625,1.1484375,InputXGradient,resnet50,ImageNet,1
29,0.009419845882803202,210.90478515625,1.1484375,InputXGradient,resnet50,ImageNet,1
30,0.009391438914462924,210.90478515625,1.1484375,InputXGradient,resnet50,ImageNet,1
31,0.009392766980454326,210.90478515625,1.1484375,InputXGradient,resnet50,ImageNet,1
32,0.009423193987458944,210.90478515625,1.1484375,InputXGradient,resnet50,ImageNet,1
33,0.009481348097324371,210.90478515625,1.1484375,InputXGradient,resnet50,ImageNet,1
34,0.009497878141701221,210.90478515625,1.1484375,InputXGradient,resnet50,ImageNet,1
35,0.009371354011818767,210.90478515625,1.1484375,InputXGradient,resnet50,ImageNet,1
36,0.009533818811178207,210.90478515625,1.1484375,InputXGradient,resnet50,ImageNet,1
