image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.042601510882377625,85.04296875,1.1484375,InputXGradient,resnet50,STL10,1
1,0.044954415410757065,83.8515625,1.1484375,InputXGradient,resnet50,STL10,1
2,0.04405028373003006,83.8515625,1.1484375,InputXGradient,resnet50,STL10,1
3,0.0412655808031559,83.8515625,1.1484375,InputXGradient,resnet50,STL10,1
4,0.04264706000685692,83.8515625,1.1484375,InputXGradient,resnet50,STL10,1
5,0.040863025933504105,83.8515625,1.1484375,InputXGradient,resnet50,STL10,1
6,0.037454914301633835,83.8515625,1.1484375,InputXGradient,resnet50,STL10,1
7,0.03897576779127121,83.8515625,1.1484375,InputXGradient,resnet50,STL10,1
8,0.04449810832738876,83.8515625,1.1484375,InputXGradient,resnet50,STL10,1
9,0.0425039678812027,83.8515625,1.1484375,InputXGradient,resnet50,STL10,1
10,0.046456072479486465,83.8515625,1.1484375,InputXGradient,resnet50,STL10,1
11,0.04103793576359749,83.8515625,1.1484375,InputXGradient,resnet50,STL10,1
12,0.0476561114192009,83.8515625,1.1484375,InputXGradient,resnet50,STL10,1
13,0.043151017278432846,83.8515625,1.1484375,InputXGradient,resnet50,STL10,1
14,0.039828523993492126,83.8515625,1.1484375,InputXGradient,resnet50,STL10,1
15,0.045897845178842545,83.8515625,1.1484375,InputXGradient,resnet50,STL10,1
16,0.03611055389046669,83.8515625,1.1484375,InputXGradient,resnet50,STL10,1
17,0.04154978692531586,83.8515625,1.1484375,InputXGradient,resnet50,STL10,1
18,0.03904564306139946,83.8515625,1.1484375,InputXGradient,resnet50,STL10,1
19,0.033954862505197525,83.8515625,1.1484375,InputXGradient,resnet50,STL10,1
20,0.04080967605113983,83.8515625,1.1484375,InputXGradient,resnet50,STL10,1
21,0.038198985159397125,83.8515625,1.1484375,InputXGradient,resnet50,STL10,1
22,0.03857089951634407,83.8515625,1.1484375,InputXGradient,resnet50,STL10,1
23,0.041773632168769836,83.8515625,1.1484375,InputXGradient,resnet50,STL10,1
24,0.04548335075378418,83.8515625,1.1484375,InputXGradient,resnet50,STL10,1
25,0.03978850692510605,83.8515625,1.1484375,InputXGradient,resnet50,STL10,1
26,0.03774469718337059,83.8515625,1.1484375,InputXGradient,resnet50,STL10,1
27,0.04596191272139549,83.8515625,1.1484375,InputXGradient,resnet50,STL10,1
28,0.03924299031496048,83.8515625,1.1484375,InputXGradient,resnet50,STL10,1
29,0.04115677252411842,83.8515625,1.1484375,InputXGradient,resnet50,STL10,1
30,0.041972268372774124,83.8515625,1.1484375,InputXGradient,resnet50,STL10,1
31,0.042394813150167465,83.8515625,1.1484375,InputXGradient,resnet50,STL10,1
