image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.0365963913500309,110.080078125,1.1484375,InputXGradient,resnet50,STL10,1
1,0.03436367213726044,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
2,0.03636271879076958,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
3,0.03362710773944855,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
4,0.043701253831386566,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
5,0.03899775817990303,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
6,0.04003676772117615,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
7,0.036827452480793,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
8,0.037445321679115295,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
9,0.03715287521481514,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
10,0.037739455699920654,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
11,0.04053772613406181,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
12,0.03911253809928894,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
13,0.03770478069782257,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
14,0.03597297891974449,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
15,0.037131231278181076,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
16,0.035804156213998795,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
17,0.03882090747356415,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
18,0.037419430911540985,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
19,0.03732810914516449,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
20,0.03891569375991821,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
21,0.04085509479045868,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
22,0.038976315408945084,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
23,0.038521893322467804,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
24,0.03742251172661781,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
25,0.03677303344011307,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
26,0.040039561688899994,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
27,0.038276463747024536,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
28,0.03725976496934891,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
29,0.03722253441810608,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
30,0.03734152391552925,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
31,0.03984476998448372,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
32,0.038996241986751556,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
33,0.037838827818632126,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
34,0.03701435402035713,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
35,0.036635421216487885,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
36,0.03113548457622528,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
37,0.033691175282001495,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
38,0.039684541523456573,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
39,0.03597545623779297,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
40,0.03971458598971367,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
41,0.029738131910562515,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
42,0.03097476437687874,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
43,0.035250332206487656,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
44,0.03826572373509407,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
45,0.03721841797232628,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
46,0.0411478690803051,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
47,0.04068233072757721,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
48,0.041422683745622635,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
49,0.04181164503097534,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
50,0.03993213176727295,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
51,0.03886011242866516,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
52,0.03891259804368019,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
53,0.03914391249418259,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
54,0.04056524485349655,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
55,0.04007844999432564,109.361328125,1.1484375,InputXGradient,resnet50,STL10,1
