image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.06953172385692596,117.77099609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
1,0.0690031386911869,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
2,0.06582091748714447,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
3,0.06795082241296768,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
4,0.06800634041428566,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
5,0.06910829618573189,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
6,0.06817672401666641,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
7,0.06709649786353111,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
8,0.06647936254739761,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
9,0.06779681146144867,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
10,0.06786094978451729,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
11,0.0680886022746563,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
12,0.07004938647150993,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
13,0.06757204979658127,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
14,0.06748224049806595,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
15,0.0680680051445961,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
16,0.06851710006594658,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
17,0.06724962219595909,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
18,0.0677117221057415,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
19,0.06801455467939377,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
20,0.06855007633566856,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
21,0.06951017677783966,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
22,0.07013161107897758,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
23,0.06978945434093475,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
24,0.07007736340165138,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
25,0.07117436453700066,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
26,0.07098721712827682,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
27,0.06816002354025841,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
28,0.06711670383810997,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
29,0.0679931715130806,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
30,0.06931562349200249,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
31,0.07118652760982513,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
32,0.06997263059020042,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
33,0.06817076355218887,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
34,0.06908561661839485,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
35,0.07215346023440361,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
36,0.07119283452630043,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
37,0.06537673994898796,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
38,0.07082204893231392,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
39,0.06321948766708374,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
40,0.0678400918841362,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
41,0.06708850711584091,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
42,0.06746604293584824,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
43,0.06978509575128555,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
44,0.06894411146640778,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
45,0.0701926089823246,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
46,0.06827132031321526,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
47,0.06761038675904274,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
48,0.06720561906695366,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
49,0.06777145341038704,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
50,0.06626372784376144,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
51,0.06889069452881813,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
52,0.06694447249174118,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
53,0.07112697511911392,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
54,0.06570623442530632,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
55,0.06797031685709953,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
56,0.07628490403294563,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
57,0.06778379529714584,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
58,0.06753352656960487,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
59,0.06755734980106354,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
60,0.0681677833199501,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
61,0.06701396778225899,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
62,0.06896494328975677,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
63,0.06956417113542557,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
64,0.06793755292892456,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
65,0.06689063087105751,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
66,0.06697560474276543,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
67,0.06741737574338913,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
68,0.06982062384486198,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
69,0.07029486820101738,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
70,0.06740915402770042,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
71,0.06839866563677788,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
72,0.0698433630168438,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
73,0.06914530321955681,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
74,0.07004247233271599,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
75,0.08197097852826118,116.33349609375,1.1484375,InputXGradient,vit-b-16,ImageNet,1
