image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.08078234270215034,153.33251953125,1.1484375,InputXGradient,vit-b-16,STL10,1
1,0.07834072038531303,153.33251953125,1.1484375,InputXGradient,vit-b-16,STL10,1
2,0.07908142358064651,153.33251953125,1.1484375,InputXGradient,vit-b-16,STL10,1
3,0.08604909852147102,153.33251953125,1.1484375,InputXGradient,vit-b-16,STL10,1
4,0.08863677456974983,153.33251953125,1.1484375,InputXGradient,vit-b-16,STL10,1
5,0.07980828732252121,153.33251953125,1.1484375,InputXGradient,vit-b-16,STL10,1
6,0.07781406119465828,153.33251953125,1.1484375,InputXGradient,vit-b-16,STL10,1
7,0.08214813470840454,153.33251953125,1.1484375,InputXGradient,vit-b-16,STL10,1
8,0.08478943631052971,153.33251953125,1.1484375,InputXGradient,vit-b-16,STL10,1
9,0.08762727305293083,153.33251953125,1.1484375,InputXGradient,vit-b-16,STL10,1
10,0.08507602661848068,153.33251953125,1.1484375,InputXGradient,vit-b-16,STL10,1
11,0.08738008141517639,153.33251953125,1.1484375,InputXGradient,vit-b-16,STL10,1
12,0.07763491570949554,153.33251953125,1.1484375,InputXGradient,vit-b-16,STL10,1
13,0.07520762085914612,153.33251953125,1.1484375,InputXGradient,vit-b-16,STL10,1
14,0.08418955653905869,153.33251953125,1.1484375,InputXGradient,vit-b-16,STL10,1
15,0.08577997609972954,153.33251953125,1.1484375,InputXGradient,vit-b-16,STL10,1
16,0.08166848123073578,153.33251953125,1.1484375,InputXGradient,vit-b-16,STL10,1
17,0.08444927260279655,153.33251953125,1.1484375,InputXGradient,vit-b-16,STL10,1
18,0.08645845949649811,153.33251953125,1.1484375,InputXGradient,vit-b-16,STL10,1
19,0.08986073359847069,153.33251953125,1.1484375,InputXGradient,vit-b-16,STL10,1
20,0.08846160024404526,153.33251953125,1.1484375,InputXGradient,vit-b-16,STL10,1
21,0.07861068099737167,153.33251953125,1.1484375,InputXGradient,vit-b-16,STL10,1
22,0.0768853984773159,153.33251953125,1.1484375,InputXGradient,vit-b-16,STL10,1
23,0.08190571516752243,153.33251953125,1.1484375,InputXGradient,vit-b-16,STL10,1
24,0.08085497841238976,153.33251953125,1.1484375,InputXGradient,vit-b-16,STL10,1
25,0.08032894134521484,153.33251953125,1.1484375,InputXGradient,vit-b-16,STL10,1
26,0.08080017566680908,153.33251953125,1.1484375,InputXGradient,vit-b-16,STL10,1
27,0.0818244218826294,153.33251953125,1.1484375,InputXGradient,vit-b-16,STL10,1
28,0.08401351049542427,153.33251953125,1.1484375,InputXGradient,vit-b-16,STL10,1
29,0.08679618313908577,153.33251953125,1.1484375,InputXGradient,vit-b-16,STL10,1
