image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.06823502853512764,116.50927734375,1.1484375,InputXGradient,vit-b-16,STL10,1
1,0.07192599773406982,116.74365234375,1.1484375,InputXGradient,vit-b-16,STL10,1
2,0.06904909014701843,116.74365234375,1.1484375,InputXGradient,vit-b-16,STL10,1
3,0.06917360424995422,116.74365234375,1.1484375,InputXGradient,vit-b-16,STL10,1
4,0.0710681639611721,116.74365234375,1.1484375,InputXGradient,vit-b-16,STL10,1
5,0.07061994820833206,116.74365234375,1.1484375,InputXGradient,vit-b-16,STL10,1
6,0.07300718873739243,116.74365234375,1.1484375,InputXGradient,vit-b-16,STL10,1
7,0.06831720098853111,116.74365234375,1.1484375,InputXGradient,vit-b-16,STL10,1
8,0.0691743940114975,116.74365234375,1.1484375,InputXGradient,vit-b-16,STL10,1
9,0.06881525740027428,116.74365234375,1.1484375,InputXGradient,vit-b-16,STL10,1
10,0.07052185013890266,116.74365234375,1.1484375,InputXGradient,vit-b-16,STL10,1
11,0.07148058712482452,116.74365234375,1.1484375,InputXGradient,vit-b-16,STL10,1
12,0.06679467111825943,116.74365234375,1.1484375,InputXGradient,vit-b-16,STL10,1
13,0.07303320616483688,116.74365234375,1.1484375,InputXGradient,vit-b-16,STL10,1
14,0.06694478541612625,116.74365234375,1.1484375,InputXGradient,vit-b-16,STL10,1
15,0.07000866904854774,116.74365234375,1.1484375,InputXGradient,vit-b-16,STL10,1
16,0.06997604295611382,116.74365234375,1.1484375,InputXGradient,vit-b-16,STL10,1
17,0.07218170911073685,116.74365234375,1.1484375,InputXGradient,vit-b-16,STL10,1
18,0.07024254649877548,116.74365234375,1.1484375,InputXGradient,vit-b-16,STL10,1
19,0.07516666501760483,116.74365234375,1.1484375,InputXGradient,vit-b-16,STL10,1
20,0.06908177584409714,116.74365234375,1.1484375,InputXGradient,vit-b-16,STL10,1
21,0.06805234774947166,116.74365234375,1.1484375,InputXGradient,vit-b-16,STL10,1
22,0.07087771967053413,116.74365234375,1.1484375,InputXGradient,vit-b-16,STL10,1
23,0.06879261508584023,116.74365234375,1.1484375,InputXGradient,vit-b-16,STL10,1
24,0.07223997637629509,116.74365234375,1.1484375,InputXGradient,vit-b-16,STL10,1
25,0.07192282006144524,116.74365234375,1.1484375,InputXGradient,vit-b-16,STL10,1
26,0.06863411143422127,116.74365234375,1.1484375,InputXGradient,vit-b-16,STL10,1
27,0.07034138217568398,116.74365234375,1.1484375,InputXGradient,vit-b-16,STL10,1
28,0.0700264722108841,116.74365234375,1.1484375,InputXGradient,vit-b-16,STL10,1
29,0.06559055671095848,116.74365234375,1.1484375,InputXGradient,vit-b-16,STL10,1
