image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,1.8734357841312885,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
1,1.8580828681588173,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
2,1.8850809335708618,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
3,1.8664097748696804,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
4,1.8644387312233448,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
5,1.8827047944068909,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
6,1.8970193564891815,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
7,1.876906581223011,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
8,1.8569289185106754,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
9,1.8843560330569744,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
10,1.8905430138111115,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
11,1.8777618780732155,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
12,1.8759005405008793,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
13,1.8937383405864239,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
14,1.8827203400433064,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
15,1.8714454472064972,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
16,1.8795036934316158,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
17,1.890300463885069,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
18,1.8802270367741585,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
19,1.878585409373045,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
20,1.890224315226078,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
21,1.8899301625788212,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
22,1.8931110203266144,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
23,1.909980796277523,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
24,1.9031854011118412,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
25,1.8786227777600288,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
26,1.8989280313253403,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
27,1.8925790525972843,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
28,1.8817473761737347,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
29,1.902907095849514,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
30,1.895375557243824,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
31,1.89459840208292,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
32,1.8781509436666965,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
33,1.8747575283050537,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
34,1.895261999219656,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
35,1.8858970552682877,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
36,1.8868801333010197,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
37,1.908386755734682,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
38,1.9129218310117722,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
39,1.8989957608282566,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
40,1.8800493478775024,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
41,1.9026512019336224,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
42,1.8906426429748535,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
43,1.8811325915157795,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
44,1.865581925958395,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
45,1.9036170653998852,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
46,1.8854316994547844,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
47,1.8819513246417046,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
48,1.894699014723301,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
49,1.8966816887259483,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
50,1.8728454895317554,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
51,1.9063848704099655,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
52,1.8974785581231117,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
53,1.92786830291152,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
54,1.881618443876505,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
55,1.9039827547967434,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
56,1.8994129672646523,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
57,1.9105090126395226,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
58,1.9205286912620068,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
59,1.8729475140571594,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
60,1.8793108686804771,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
61,1.9046950563788414,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
62,1.9020233750343323,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
63,1.9070932306349277,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
64,1.8749599196016788,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
65,1.8801134340465069,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
66,1.9065414369106293,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
67,1.912195559591055,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
68,1.8945870250463486,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
69,1.9026067070662975,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
70,1.8749528154730797,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
71,1.9265880100429058,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
72,1.8892343416810036,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
73,1.8913762122392654,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
74,1.9013277627527714,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
75,1.9042995050549507,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
76,1.9189709350466728,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
77,1.883174616843462,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
78,1.8980321623384953,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
79,1.8926345705986023,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
80,1.8733289912343025,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
81,1.8945950344204903,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
82,1.8988912589848042,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
83,1.9131963029503822,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
84,1.901570774614811,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
85,1.9047867618501186,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
86,1.869802676141262,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
87,1.9028177745640278,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
88,1.8733236342668533,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
89,1.8859472796320915,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
90,1.912848100066185,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
91,1.8707731403410435,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
92,1.872264664620161,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
93,1.8998039700090885,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
94,1.9081303477287292,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
95,1.9040659256279469,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
96,1.8809189684689045,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
97,1.8935850262641907,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
98,1.9229928404092789,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
99,1.9030232168734074,5263.19482421875,0.0,IntegratedGradients,convnext-t,STL10,1
