image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.7953104674816132,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
1,0.7022945508360863,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
2,0.7004683278501034,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
3,0.7081668041646481,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
4,0.7102569229900837,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
5,0.6826462037861347,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
6,0.7039627358317375,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
7,0.7064895816147327,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
8,0.7045654617249966,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
9,0.7991987206041813,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
10,0.7953747659921646,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
11,0.7975270375609398,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
12,0.7944943904876709,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
13,0.8004450909793377,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
14,0.8000067472457886,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
15,0.7996330261230469,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
16,0.7980963438749313,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
17,0.7988609932363033,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
18,0.7955406568944454,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
19,0.8000990524888039,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
20,0.8005644083023071,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
21,0.802481897175312,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
22,0.7998091168701649,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
23,0.7995885349810123,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
24,0.8000342175364494,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
25,0.7973698899149895,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
26,0.7999359183013439,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
27,0.7991913072764874,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
28,0.7992643378674984,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
29,0.7983902916312218,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
30,0.7993249595165253,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
31,0.7997062280774117,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
32,0.7991079986095428,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
33,0.7993758022785187,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
34,0.7990083619952202,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
35,0.8000047989189625,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
36,0.7995773740112782,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
37,0.7987231649458408,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
38,0.7991084232926369,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
39,0.7998090423643589,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
40,0.8041242100298405,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
41,0.7992883920669556,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
42,0.7981829531490803,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
43,0.8000959977507591,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
44,0.7998172827064991,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
45,0.7959541939198971,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
46,0.7987548224627972,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
47,0.7990241423249245,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
48,0.798924595117569,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
49,0.7992004677653313,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
50,0.798865769058466,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
51,0.8025150746107101,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
52,0.7990431748330593,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
53,0.7990667410194874,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
54,0.7986678928136826,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
55,0.7996930740773678,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
56,0.7997651845216751,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
57,0.7977062352001667,6298.4287109375,0.0,IntegratedGradients,densenet121,CIFAR10,1
