image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.14416156709194183,6298.638671875,0.0,IntegratedGradients,densenet121,ImageNet,1
1,0.13535832590423524,6298.638671875,0.0,IntegratedGradients,densenet121,ImageNet,1
2,0.13587568001821637,6298.638671875,0.0,IntegratedGradients,densenet121,ImageNet,1
3,0.13261444889940321,6298.638671875,0.0,IntegratedGradients,densenet121,ImageNet,1
4,0.136184360133484,6298.638671875,0.0,IntegratedGradients,densenet121,ImageNet,1
5,0.13632443081587553,6298.638671875,0.0,IntegratedGradients,densenet121,ImageNet,1
6,0.1358448420651257,6298.638671875,0.0,IntegratedGradients,densenet121,ImageNet,1
7,0.13551000598818064,6298.638671875,0.0,IntegratedGradients,densenet121,ImageNet,1
8,0.13658470497466624,6298.638671875,0.0,IntegratedGradients,densenet121,ImageNet,1
9,0.13619946502149105,6298.638671875,0.0,IntegratedGradients,densenet121,ImageNet,1
10,0.13579755509272218,6298.638671875,0.0,IntegratedGradients,densenet121,ImageNet,1
11,0.13549749413505197,6298.638671875,0.0,IntegratedGradients,densenet121,ImageNet,1
12,0.13595859915949404,6298.638671875,0.0,IntegratedGradients,densenet121,ImageNet,1
13,0.13630288606509566,6298.638671875,0.0,IntegratedGradients,densenet121,ImageNet,1
14,0.13565355609171093,6298.638671875,0.0,IntegratedGradients,densenet121,ImageNet,1
15,0.13537858077324927,6298.638671875,0.0,IntegratedGradients,densenet121,ImageNet,1
16,0.1361954149324447,6298.638671875,0.0,IntegratedGradients,densenet121,ImageNet,1
17,0.1357064270414412,6298.638671875,0.0,IntegratedGradients,densenet121,ImageNet,1
18,0.13569518411532044,6298.638671875,0.0,IntegratedGradients,densenet121,ImageNet,1
19,0.1355362981557846,6298.638671875,0.0,IntegratedGradients,densenet121,ImageNet,1
20,0.13665268314071,6298.638671875,0.0,IntegratedGradients,densenet121,ImageNet,1
21,0.1367905221413821,6298.638671875,0.0,IntegratedGradients,densenet121,ImageNet,1
22,0.13605622691102326,6298.638671875,0.0,IntegratedGradients,densenet121,ImageNet,1
