image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.814276110380888,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
1,0.8175504542887211,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
2,0.8071035742759705,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
3,0.8155121505260468,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
4,0.8151401616632938,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
5,0.8112762346863747,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
6,0.8170545995235443,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
7,0.8165902271866798,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
8,0.8090425953269005,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
9,0.8155742697417736,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
10,0.8164368234574795,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
11,0.8180838190019131,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
12,0.8183734193444252,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
13,0.8131213113665581,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
14,0.8159292452037334,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
15,0.8146953284740448,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
16,0.8136291652917862,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
17,0.8169691935181618,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
18,0.8164356127381325,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
19,0.8181305639445782,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
20,0.8235857337713242,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
21,0.8132544383406639,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
22,0.8072450943291187,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
23,0.8206060864031315,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
24,0.8234036006033421,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
25,0.8190128430724144,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
26,0.8167609497904778,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
27,0.8167064972221851,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
28,0.8105069398880005,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
29,0.815619133412838,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
30,0.8121332712471485,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
31,0.8192167207598686,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
32,0.8210764043033123,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
33,0.8165816515684128,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
34,0.809008251875639,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
35,0.8231808766722679,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
36,0.8167560063302517,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
37,0.8160852119326591,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
38,0.8139468729496002,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
39,0.8140646405518055,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
40,0.8207476176321507,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
41,0.8213690519332886,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
42,0.8199167214334011,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
43,0.8140799514949322,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
44,0.8198823221027851,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
45,0.8151485733687878,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
46,0.8175428472459316,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
47,0.8183869309723377,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
48,0.8168363459408283,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
49,0.8265339247882366,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
50,0.8175639547407627,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
51,0.814486175775528,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
52,0.816150613129139,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
53,0.8162645697593689,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
54,0.817843534052372,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
55,0.81924057751894,6288.1875,0.0,IntegratedGradients,densenet121,STL10,1
