image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.14422479807399213,6298.638671875,0.0,IntegratedGradients,densenet121,STL10,1
1,0.13605045806616545,6298.638671875,0.0,IntegratedGradients,densenet121,STL10,1
2,0.13641686900518835,6298.638671875,0.0,IntegratedGradients,densenet121,STL10,1
3,0.135580874979496,6298.638671875,0.0,IntegratedGradients,densenet121,STL10,1
4,0.13658535317517817,6298.638671875,0.0,IntegratedGradients,densenet121,STL10,1
5,0.1361225659493357,6298.638671875,0.0,IntegratedGradients,densenet121,STL10,1
6,0.13599820900708437,6298.638671875,0.0,IntegratedGradients,densenet121,STL10,1
7,0.13655430893413723,6298.638671875,0.0,IntegratedGradients,densenet121,STL10,1
8,0.13653357420116663,6298.638671875,0.0,IntegratedGradients,densenet121,STL10,1
9,0.13591586519032717,6298.638671875,0.0,IntegratedGradients,densenet121,STL10,1
10,0.1363167050294578,6298.638671875,0.0,IntegratedGradients,densenet121,STL10,1
11,0.13627749402076006,6298.638671875,0.0,IntegratedGradients,densenet121,STL10,1
12,0.13616858585737646,6298.638671875,0.0,IntegratedGradients,densenet121,STL10,1
13,0.13701533107087016,6298.638671875,0.0,IntegratedGradients,densenet121,STL10,1
14,0.13658342696726322,6298.638671875,0.0,IntegratedGradients,densenet121,STL10,1
15,0.1359235520940274,6298.638671875,0.0,IntegratedGradients,densenet121,STL10,1
16,0.13657087995670736,6298.638671875,0.0,IntegratedGradients,densenet121,STL10,1
17,0.13648385810665786,6298.638671875,0.0,IntegratedGradients,densenet121,STL10,1
18,0.1359273379202932,6298.638671875,0.0,IntegratedGradients,densenet121,STL10,1
19,0.1363779390230775,6298.638671875,0.0,IntegratedGradients,densenet121,STL10,1
20,0.13666067901067436,6298.638671875,0.0,IntegratedGradients,densenet121,STL10,1
21,0.13613459398038685,6298.638671875,0.0,IntegratedGradients,densenet121,STL10,1
22,0.1359845611732453,6298.638671875,0.0,IntegratedGradients,densenet121,STL10,1
23,0.13654569583013654,6298.638671875,0.0,IntegratedGradients,densenet121,STL10,1
24,0.13617159985005856,6298.638671875,0.0,IntegratedGradients,densenet121,STL10,1
25,0.13644787413068116,6298.638671875,0.0,IntegratedGradients,densenet121,STL10,1
26,0.1362432457972318,6298.638671875,0.0,IntegratedGradients,densenet121,STL10,1
27,0.13614655006676912,6298.638671875,0.0,IntegratedGradients,densenet121,STL10,1
28,0.13617499195970595,6298.638671875,0.0,IntegratedGradients,densenet121,STL10,1
