image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.45227646827697754,4252.67431640625,0.0,IntegratedGradients,efficientnet-b0,CIFAR10,1
1,0.3378019258379936,4252.67431640625,0.0,IntegratedGradients,efficientnet-b0,CIFAR10,1
2,0.3433353267610073,4252.67431640625,0.0,IntegratedGradients,efficientnet-b0,CIFAR10,1
3,0.3309219367802143,4252.67431640625,0.0,IntegratedGradients,efficientnet-b0,CIFAR10,1
4,0.3506549187004566,4252.67431640625,0.0,IntegratedGradients,efficientnet-b0,CIFAR10,1
5,0.3641028329730034,4252.67431640625,0.0,IntegratedGradients,efficientnet-b0,CIFAR10,1
6,0.3457704521715641,4252.67431640625,0.0,IntegratedGradients,efficientnet-b0,CIFAR10,1
7,0.33983325958251953,4252.67431640625,0.0,IntegratedGradients,efficientnet-b0,CIFAR10,1
8,0.3451939709484577,4252.67431640625,0.0,IntegratedGradients,efficientnet-b0,CIFAR10,1
9,0.36281225830316544,4252.67431640625,0.0,IntegratedGradients,efficientnet-b0,CIFAR10,1
10,0.34094756469130516,4252.67431640625,0.0,IntegratedGradients,efficientnet-b0,CIFAR10,1
11,0.3373822756111622,4252.67431640625,0.0,IntegratedGradients,efficientnet-b0,CIFAR10,1
12,0.19245413690805435,4252.67431640625,0.0,IntegratedGradients,efficientnet-b0,CIFAR10,1
13,0.2020958475768566,4252.67431640625,0.0,IntegratedGradients,efficientnet-b0,CIFAR10,1
14,0.4532138407230377,4252.67431640625,0.0,IntegratedGradients,efficientnet-b0,CIFAR10,1
15,0.4530376084148884,4252.67431640625,0.0,IntegratedGradients,efficientnet-b0,CIFAR10,1
16,0.4537111259996891,4252.67431640625,0.0,IntegratedGradients,efficientnet-b0,CIFAR10,1
17,0.4539194442331791,4252.67431640625,0.0,IntegratedGradients,efficientnet-b0,CIFAR10,1
18,0.4530850909650326,4252.67431640625,0.0,IntegratedGradients,efficientnet-b0,CIFAR10,1
19,0.4528413861989975,4252.67431640625,0.0,IntegratedGradients,efficientnet-b0,CIFAR10,1
20,0.45552225038409233,4252.67431640625,0.0,IntegratedGradients,efficientnet-b0,CIFAR10,1
21,0.45286978781223297,4252.67431640625,0.0,IntegratedGradients,efficientnet-b0,CIFAR10,1
22,0.453422911465168,4252.67431640625,0.0,IntegratedGradients,efficientnet-b0,CIFAR10,1
