image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.40108977630734444,4253.55615234375,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
1,0.39760398119688034,4253.55615234375,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
2,0.3956512585282326,4253.55615234375,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
3,0.393558606505394,4253.55615234375,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
4,0.39602530002593994,4253.55615234375,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
5,0.40731631219387054,4253.55615234375,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
6,0.39881354942917824,4253.55615234375,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
7,0.397424791008234,4253.55615234375,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
8,0.39962343499064445,4253.55615234375,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
9,0.3998131677508354,4253.55615234375,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
10,0.39850861206650734,4253.55615234375,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
11,0.3982813358306885,4253.55615234375,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
12,0.3975840099155903,4253.55615234375,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
13,0.39955809712409973,4253.55615234375,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
14,0.40261781960725784,4253.55615234375,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
15,0.39803648740053177,4253.55615234375,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
16,0.3996567763388157,4253.55615234375,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
17,0.3992827981710434,4253.55615234375,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
18,0.3926300182938576,4253.55615234375,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
19,0.3960750922560692,4253.55615234375,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
20,0.3957938365638256,4253.55615234375,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
21,0.39826588705182076,4253.55615234375,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
22,0.3961106427013874,4253.55615234375,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
23,0.4015539474785328,4253.55615234375,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
24,0.3970186859369278,4253.55615234375,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
25,0.4026062525808811,4253.55615234375,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
26,0.3991379700601101,4253.55615234375,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
27,0.39772628247737885,4253.55615234375,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
