image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.07471573702059686,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
1,0.0726990478578955,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
2,0.0701169460080564,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
3,0.06943739112466574,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
4,0.07005106890574098,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
5,0.07000513607636094,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
6,0.06990138301625848,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
7,0.0698652861174196,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
8,0.07002415601164103,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
9,0.07034031301736832,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
10,0.07007660809904337,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
11,0.07011582190170884,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
12,0.06994093814864755,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
13,0.0700367009267211,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
14,0.0699663010891527,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
15,0.06977911596186459,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
16,0.07003988092765212,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
17,0.06999596487730742,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
18,0.0698712959419936,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
19,0.07001299597322941,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
20,0.0701372348703444,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
21,0.06988486903719604,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
22,0.07001403602771461,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
23,0.06998301204293966,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,ImageNet,1
