image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.07354632997885346,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
1,0.07045334903523326,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
2,0.07032702583819628,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
3,0.0701540990266949,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
4,0.07017106702551246,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
5,0.07036643684841692,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
6,0.07048029592260718,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
7,0.07040021009743214,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
8,0.07050562906078994,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
9,0.0705573009327054,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
10,0.0702681289985776,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
11,0.07043516309931874,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
12,0.0701278680935502,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
13,0.07021537492983043,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
14,0.07022752496413887,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
15,0.0703882509842515,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
16,0.0703645481262356,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
17,0.07042208104394376,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
18,0.07080572308041155,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
19,0.07048120605759323,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
20,0.07015702500939369,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
21,0.07012334512546659,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
22,0.07033982709981501,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
23,0.07025679806247354,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
24,0.07022059592418373,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
25,0.07069512503221631,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
26,0.07050339807756245,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
27,0.07060559908859432,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
28,0.07036012690514326,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
29,0.07026842585764825,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
30,0.07018713490106165,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
31,0.07015411905013025,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
32,0.07034453004598618,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
33,0.07027460704557598,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
34,0.07031411398202181,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
35,0.07031271187588573,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
36,0.07058133115060627,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
37,0.07055894192308187,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
38,0.0704138029832393,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
39,0.07022127998061478,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
40,0.07011238601990044,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
41,0.07026589615270495,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
42,0.07019905000925064,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
43,0.07927924394607544,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
44,0.07119764806702733,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
45,0.07071013399399817,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
46,0.07079733884893358,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
47,0.07024127501063049,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
48,0.07026938511990011,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
49,0.07054370804689825,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
50,0.07055495702661574,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
51,0.07051118090748787,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
52,0.0703000039793551,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
53,0.0701696272008121,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
54,0.07022204692475498,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
55,0.07025250210426748,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
56,0.07042114017531276,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
57,0.07038445095531642,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
58,0.07032128912396729,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
59,0.07045013504102826,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
60,0.07070582010783255,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
61,0.07049764087423682,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
62,0.07016664813272655,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
63,0.07005011709406972,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
64,0.07034543296322227,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
65,0.07026067585684359,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
66,0.07030332111753523,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
67,0.07045558281242847,4316.4775390625,0.0,IntegratedGradients,efficientnet-b0,STL10,1
