image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.8208039924502373,4167.17626953125,0.0,IntegratedGradients,resnet50,CIFAR10,1
1,0.8188354186713696,4167.17626953125,0.0,IntegratedGradients,resnet50,CIFAR10,1
2,0.8137775510549545,4167.17626953125,0.0,IntegratedGradients,resnet50,CIFAR10,1
3,0.8168385922908783,4167.17626953125,0.0,IntegratedGradients,resnet50,CIFAR10,1
4,0.8232697658240795,4167.17626953125,0.0,IntegratedGradients,resnet50,CIFAR10,1
5,0.8156909048557281,4167.17626953125,0.0,IntegratedGradients,resnet50,CIFAR10,1
6,0.8080117031931877,4167.17626953125,0.0,IntegratedGradients,resnet50,CIFAR10,1
7,0.8158223330974579,4167.17626953125,0.0,IntegratedGradients,resnet50,CIFAR10,1
8,0.8125750496983528,4167.17626953125,0.0,IntegratedGradients,resnet50,CIFAR10,1
9,0.8098414987325668,4167.17626953125,0.0,IntegratedGradients,resnet50,CIFAR10,1
10,0.8077945671975613,4167.17626953125,0.0,IntegratedGradients,resnet50,CIFAR10,1
11,0.8126788027584553,4167.17626953125,0.0,IntegratedGradients,resnet50,CIFAR10,1
12,0.81580900400877,4167.17626953125,0.0,IntegratedGradients,resnet50,CIFAR10,1
13,0.8103196695446968,4167.17626953125,0.0,IntegratedGradients,resnet50,CIFAR10,1
14,0.8206397108733654,4167.17626953125,0.0,IntegratedGradients,resnet50,CIFAR10,1
15,0.8166008554399014,4167.17626953125,0.0,IntegratedGradients,resnet50,CIFAR10,1
16,0.8110221736133099,4167.17626953125,0.0,IntegratedGradients,resnet50,CIFAR10,1
17,0.8123986721038818,4167.17626953125,0.0,IntegratedGradients,resnet50,CIFAR10,1
18,0.8179771639406681,4167.17626953125,0.0,IntegratedGradients,resnet50,CIFAR10,1
19,0.8119661994278431,4167.17626953125,0.0,IntegratedGradients,resnet50,CIFAR10,1
20,0.8149581588804722,4167.17626953125,0.0,IntegratedGradients,resnet50,CIFAR10,1
21,0.8072373606264591,4167.17626953125,0.0,IntegratedGradients,resnet50,CIFAR10,1
22,0.8104371055960655,4167.17626953125,0.0,IntegratedGradients,resnet50,CIFAR10,1
23,0.8155654408037663,4167.17626953125,0.0,IntegratedGradients,resnet50,CIFAR10,1
24,0.8104732893407345,4167.17626953125,0.0,IntegratedGradients,resnet50,CIFAR10,1
25,0.8175294660031796,4167.17626953125,0.0,IntegratedGradients,resnet50,CIFAR10,1
