image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.8053540401160717,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
1,0.8053060099482536,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
2,0.8094182945787907,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
3,0.8139432817697525,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
4,0.8089505396783352,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
5,0.8134218007326126,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
6,0.8112882785499096,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
7,0.8054497390985489,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
8,0.811690092086792,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
9,0.812972966581583,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
10,0.8107145987451077,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
11,0.8224591352045536,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
12,0.8101502433419228,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
13,0.8100796975195408,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
14,0.8143885284662247,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
15,0.8125695995986462,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
16,0.8193185515701771,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
17,0.8109167441725731,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
18,0.8147972859442234,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
19,0.8053412884473801,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
20,0.8127531483769417,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
21,0.8058552630245686,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
22,0.8107380159199238,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
23,0.8143521696329117,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
24,0.8106685616075993,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
25,0.8148870170116425,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
26,0.811613917350769,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
27,0.8080600015819073,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
28,0.8131576925516129,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
29,0.8146334961056709,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
30,0.8095823004841805,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
31,0.8235217668116093,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
32,0.8115344233810902,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
33,0.8107049949467182,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
34,0.815902229398489,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
35,0.8091800957918167,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
36,0.817393209785223,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
37,0.8209748640656471,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
38,0.8130574785172939,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
39,0.8155374377965927,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
40,0.8021091446280479,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
41,0.8173690252006054,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
42,0.8103584200143814,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
43,0.8085189312696457,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
44,0.8117114081978798,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
45,0.8112201765179634,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
46,0.8185289688408375,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
47,0.8073917888104916,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
48,0.8174240700900555,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
49,0.8103815615177155,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
50,0.8188357315957546,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
51,0.8247393853962421,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
52,0.8213541731238365,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
53,0.8076371029019356,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
54,0.8126356825232506,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
55,0.8098393306136131,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
56,0.8164532072842121,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
57,0.8122614808380604,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
58,0.8103296682238579,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
59,0.8143552877008915,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
60,0.8081065006554127,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
61,0.8125519007444382,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
62,0.8145656585693359,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
63,0.8136109486222267,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
64,0.826298713684082,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
65,0.8106284029781818,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
66,0.8155018240213394,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
67,0.8150805234909058,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
68,0.8088409006595612,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
69,0.8098301850259304,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
70,0.8148822896182537,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
71,0.8183491602540016,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
72,0.8174191005527973,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
73,0.820395689457655,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
74,0.8136305622756481,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
75,0.8164209611713886,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
76,0.8120332881808281,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
77,0.8205102905631065,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
78,0.8113472238183022,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
79,0.8128063566982746,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
80,0.811751589179039,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
81,0.8081284798681736,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
82,0.815157201141119,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
83,0.8131952099502087,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
84,0.8119950070977211,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
85,0.8193974085152149,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
86,0.8158634901046753,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
87,0.8150730393826962,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
88,0.8107713237404823,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
89,0.8155114576220512,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
90,0.8108924739062786,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
91,0.8210349455475807,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
92,0.8125343024730682,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
93,0.8136628232896328,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
94,0.8155929893255234,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
95,0.815442644059658,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
96,0.816608689725399,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
97,0.8137691542506218,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
98,0.8153033591806889,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
99,0.8146722875535488,4167.07080078125,0.0,IntegratedGradients,resnet50,ImageNet,1
