image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.19555746391415596,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
1,0.1936735399067402,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
2,0.1958787813782692,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
3,0.1952853575348854,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
4,0.1954951137304306,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
5,0.1973164938390255,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
6,0.19477269798517227,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
7,0.19470502063632011,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
8,0.1950192116200924,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
9,0.19601744040846825,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
10,0.1936064511537552,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
11,0.19454041868448257,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
12,0.19425684958696365,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
13,0.19490358605980873,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
14,0.19396228343248367,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
15,0.1932215355336666,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
16,0.19409750029444695,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
17,0.19534558802843094,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
18,0.19506893679499626,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
19,0.1947709508240223,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
20,0.19386933743953705,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
21,0.19321731105446815,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
22,0.19713065028190613,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
23,0.19375556334853172,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
24,0.1941736377775669,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
25,0.19364520907402039,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
26,0.19410092383623123,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
27,0.1930062137544155,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
28,0.19398251920938492,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
29,0.19484000280499458,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
30,0.1940474472939968,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
31,0.19370539486408234,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
32,0.1944686360657215,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
33,0.19613763689994812,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
34,0.19397751241922379,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
35,0.19465234503149986,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
36,0.19462565332651138,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
37,0.19862543791532516,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
38,0.19424579292535782,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
39,0.1939636990427971,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
40,0.1935673952102661,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
41,0.1931958980858326,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
42,0.19661245867609978,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
43,0.19335207343101501,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
44,0.19369743019342422,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
45,0.1931631714105606,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
46,0.1927155740559101,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
47,0.1942734234035015,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
48,0.19376344233751297,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
49,0.1935046650469303,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
50,0.1939527988433838,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
51,0.19461067020893097,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
52,0.19398805499076843,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
53,0.1934429481625557,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
54,0.19399897754192352,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
55,0.19620629400014877,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
56,0.19460540637373924,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
57,0.19388670101761818,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
58,0.19454015046358109,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
59,0.19487202540040016,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
60,0.19548112526535988,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
61,0.1937912181019783,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
62,0.19366849586367607,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
63,0.1939622089266777,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
64,0.19357049465179443,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
65,0.19310656189918518,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
66,0.1937422789633274,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
67,0.19563337787985802,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
68,0.19442787393927574,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
69,0.19445450231432915,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
70,0.19362886250019073,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
71,0.19352002441883087,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
72,0.19359910115599632,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
73,0.1932060644030571,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
74,0.19702839478850365,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
75,0.1970668025314808,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
76,0.19904470816254616,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
77,0.19800521805882454,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
78,0.19578828662633896,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
79,0.19895904883742332,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
80,0.20217744261026382,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
81,0.20197198539972305,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
82,0.20231249928474426,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
83,0.20208170264959335,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
84,0.215264480561018,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
85,0.2042529582977295,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
86,0.20220991969108582,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
87,0.20187446847558022,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
88,0.22421883419156075,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
89,0.23534350097179413,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
90,0.22121261432766914,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
91,0.21376637369394302,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
92,0.21117140725255013,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
93,0.2116268388926983,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
94,0.20987644791603088,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
95,0.21155277639627457,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
96,0.21027349308133125,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
97,0.6345679871737957,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
98,0.29574984684586525,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
99,0.2747645229101181,4178.24658203125,0.0,IntegratedGradients,resnet50,ImageNet,1
