image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.8040516525506973,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
1,0.8075625337660313,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
2,0.8164654485881329,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
3,0.8087473846971989,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
4,0.8112330548465252,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
5,0.8052619583904743,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
6,0.8068866543471813,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
7,0.8082080222666264,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
8,0.8055791817605495,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
9,0.8120689392089844,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
10,0.8100173398852348,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
11,0.805767148733139,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
12,0.8036898970603943,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
13,0.8072672858834267,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
14,0.8032354302704334,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
15,0.8110984042286873,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
16,0.8087627701461315,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
17,0.8088310472667217,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
18,0.8119788244366646,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
19,0.8075799718499184,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
20,0.8119028806686401,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
21,0.810418363660574,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
22,0.8090943731367588,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
23,0.8060610443353653,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
24,0.8155362717807293,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
25,0.8056390024721622,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
26,0.8079444728791714,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
27,0.8084100633859634,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
28,0.8131244294345379,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
29,0.8136060982942581,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
30,0.8105308189988136,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
31,0.805408664047718,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
32,0.8087562248110771,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
33,0.8115596994757652,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
34,0.8082464896142483,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
35,0.8091978244483471,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
36,0.805998045951128,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
37,0.8107785508036613,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
38,0.8069299645721912,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
39,0.8054370991885662,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
40,0.8109744749963284,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
41,0.811203021556139,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
42,0.8109124265611172,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
43,0.8115779310464859,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
44,0.8047961555421352,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
45,0.8070829622447491,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
46,0.8087000772356987,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
47,0.810746356844902,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
48,0.8139084167778492,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
49,0.8078580424189568,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
50,0.8091459199786186,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
51,0.8097301758825779,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
52,0.8160218074917793,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
53,0.8064479567110538,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
54,0.8118436299264431,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
55,0.8087647929787636,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
56,0.8097403571009636,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
57,0.8088513277471066,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
58,0.8101507499814034,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
59,0.8184002302587032,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
60,0.817282535135746,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
61,0.8091424480080605,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
62,0.8126388601958752,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
63,0.8119327276945114,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
64,0.8110464364290237,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
65,0.8172963783144951,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
66,0.8130907602608204,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
67,0.8075120411813259,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
68,0.8084647990763187,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
69,0.8117438815534115,4166.39111328125,0.0,IntegratedGradients,resnet50,STL10,1
