image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.7666499279439449,4176.53955078125,0.0,IntegratedGradients,resnet50,STL10,1
1,0.6471629031002522,4176.53955078125,0.0,IntegratedGradients,resnet50,STL10,1
2,0.6607648432254791,4176.53955078125,0.0,IntegratedGradients,resnet50,STL10,1
3,0.6613149605691433,4176.53955078125,0.0,IntegratedGradients,resnet50,STL10,1
4,0.6553476341068745,4176.53955078125,0.0,IntegratedGradients,resnet50,STL10,1
5,0.6723932921886444,4176.53955078125,0.0,IntegratedGradients,resnet50,STL10,1
6,0.6563206426799297,4176.53955078125,0.0,IntegratedGradients,resnet50,STL10,1
7,0.7086801156401634,4176.53955078125,0.0,IntegratedGradients,resnet50,STL10,1
8,0.7659327760338783,4176.53955078125,0.0,IntegratedGradients,resnet50,STL10,1
9,0.7689683325588703,4176.53955078125,0.0,IntegratedGradients,resnet50,STL10,1
10,0.7659513540565968,4176.53955078125,0.0,IntegratedGradients,resnet50,STL10,1
11,0.7685445658862591,4176.53955078125,0.0,IntegratedGradients,resnet50,STL10,1
12,0.7769725881516933,4176.53955078125,0.0,IntegratedGradients,resnet50,STL10,1
13,0.7678299136459827,4176.53955078125,0.0,IntegratedGradients,resnet50,STL10,1
14,0.7666944749653339,4176.53955078125,0.0,IntegratedGradients,resnet50,STL10,1
15,0.7691902592778206,4176.53955078125,0.0,IntegratedGradients,resnet50,STL10,1
16,0.7676512151956558,4176.53955078125,0.0,IntegratedGradients,resnet50,STL10,1
17,0.7662711329758167,4176.53955078125,0.0,IntegratedGradients,resnet50,STL10,1
18,0.7654786445200443,4176.53955078125,0.0,IntegratedGradients,resnet50,STL10,1
19,0.7692948132753372,4176.53955078125,0.0,IntegratedGradients,resnet50,STL10,1
20,0.7686260566115379,4176.53955078125,0.0,IntegratedGradients,resnet50,STL10,1
21,0.7732303254306316,4176.53955078125,0.0,IntegratedGradients,resnet50,STL10,1
22,0.766292966902256,4176.53955078125,0.0,IntegratedGradients,resnet50,STL10,1
23,0.7673941068351269,4176.53955078125,0.0,IntegratedGradients,resnet50,STL10,1
