image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,5.586558006703854,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
1,5.440199099481106,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
2,5.7695539109408855,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
3,5.586919788271189,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
4,6.002756845206022,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
5,6.166881557554007,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
6,6.012689646333456,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
7,5.989989031106234,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
8,6.144973944872618,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
9,6.066316474229097,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
10,5.940354056656361,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
11,5.688584938645363,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
12,6.037908110767603,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
13,6.15929688885808,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
14,6.3320531733334064,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
15,5.9890177845954895,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
16,6.271159041672945,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
17,5.989987328648567,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
18,5.999651983380318,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
19,6.505954895168543,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
20,5.9757408536970615,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
21,6.300031118094921,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
22,6.150524031370878,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
23,5.7578032948076725,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
24,5.439324401319027,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
25,6.295698091387749,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
26,5.948083788156509,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
27,6.1786814369261265,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
28,6.219560910016298,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
29,5.843636021018028,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
30,6.077993653714657,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
31,6.0794921442866325,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
32,5.88208444416523,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
33,6.2593214102089405,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
34,6.319733057171106,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
35,6.322087123990059,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
36,6.302465450018644,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
37,6.273317947983742,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
38,6.116096489131451,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
39,5.933997310698032,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
40,5.990234095603228,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
41,6.240595027804375,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
42,5.900025315582752,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
43,6.1538818925619125,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
44,6.114885486662388,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
45,5.6457434967160225,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
46,6.03262147679925,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
47,5.8590858317911625,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
48,6.020067445933819,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
49,6.029344812035561,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
50,5.6863576620817184,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
51,6.0512380823493,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
52,6.045899409800768,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
53,5.896847944706678,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
54,6.022828634828329,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
55,5.458651646971703,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
56,6.29424948990345,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
57,6.095820926129818,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
58,5.9698523953557014,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
59,6.050924587994814,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
60,5.855490934103727,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
61,6.253925871104002,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
62,6.048862390220165,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
63,6.550545416772366,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
64,6.258787479251623,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
65,6.20102084428072,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
66,6.200309157371521,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
67,5.661692816764116,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
68,6.152598973363638,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
69,6.193916525691748,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
70,6.26377646997571,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
71,5.9328879453241825,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
72,5.936006873846054,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
73,5.913808822631836,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
74,5.963616907596588,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
75,5.956197269260883,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
76,6.032616250216961,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
77,5.9977885745465755,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
78,5.9556651301681995,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
79,6.128508470952511,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
80,5.915214892476797,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
81,6.101332448422909,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
82,6.4201774299144745,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
83,6.126992944628,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
84,6.048771020025015,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
85,5.781331900507212,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
86,6.105429206043482,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
87,5.837414152920246,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
88,6.0433825477957726,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
89,6.1829490698874,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
90,6.076526526361704,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
91,5.5559550151228905,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
92,6.361432675272226,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
93,6.623366005718708,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
94,6.226938623934984,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
95,6.157695285975933,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
96,5.997912857681513,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
97,6.351277567446232,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
98,6.023494116961956,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
99,6.181825906038284,6082.91650390625,0.0,IntegratedGradients,vit-b-16,CIFAR10,1
