image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,2.7941810712218285,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
1,2.7753999158740044,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
2,2.7966139912605286,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
3,2.776753645390272,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
4,2.7979195043444633,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
5,2.7871432825922966,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
6,2.7738002166152,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
7,2.7913264743983746,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
8,2.792811494320631,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
9,2.8071390986442566,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
10,2.7957621440291405,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
11,2.7968785725533962,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
12,2.7797712832689285,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
13,2.792375512421131,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
14,2.781596638262272,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
15,2.803161419928074,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
16,2.7857045717537403,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
17,2.790645956993103,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
18,2.7907100692391396,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
19,2.8029158636927605,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
20,2.794519752264023,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
21,2.7993020080029964,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
22,2.7985271401703358,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
23,2.799845702946186,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
24,2.793186940252781,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
25,2.782654818147421,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
26,2.79770390689373,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
27,2.7784793749451637,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
28,2.8145291954278946,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
29,2.7876902855932713,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
30,2.801109056919813,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
31,2.791286524385214,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
32,2.794582612812519,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
33,2.788835022598505,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
34,2.7854809314012527,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
35,2.802465371787548,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
36,2.813562799245119,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
37,2.813148695975542,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
38,2.804004803299904,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
39,2.81435863673687,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
40,2.8138280771672726,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
41,2.8128904588520527,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
42,2.8067724741995335,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
43,2.8046386800706387,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
44,2.790832791477442,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
45,2.8046031817793846,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
46,2.7958098240196705,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
47,2.7915632277727127,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
48,2.81531411036849,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
49,2.7976823076605797,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
50,2.7969380654394627,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
51,2.7994109876453876,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
52,2.8114739544689655,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
53,2.8060216642916203,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
54,2.8072961904108524,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
55,2.816788960248232,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
56,2.7978922612965107,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
57,2.8076397851109505,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
58,2.8067633993923664,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
59,2.81403798609972,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
60,2.818926155567169,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
61,2.7959550358355045,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
62,2.7986183799803257,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
63,2.7981164194643497,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
64,2.8211227655410767,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
65,2.8021920658648014,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
66,2.794409900903702,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
67,2.792481202632189,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
68,2.805124893784523,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
69,2.808337066322565,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
70,2.8088641054928303,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
71,2.8001821860671043,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
72,2.7983740232884884,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
73,2.7941973097622395,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
74,2.79375122115016,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
75,2.8936133831739426,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
76,2.8072874136269093,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
77,2.8054348565638065,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
78,2.801074620336294,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
79,2.818807952105999,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
80,2.800446692854166,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
81,2.7962931357324123,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
82,2.7994273230433464,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
83,2.800548680126667,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
84,2.8034654706716537,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
85,2.800818506628275,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
86,2.808240655809641,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
87,2.8069750666618347,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
88,2.812230296432972,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
89,2.8264754228293896,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
90,2.7934818491339684,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
91,2.801051702350378,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
92,2.8185732029378414,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
93,2.8007203713059425,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
94,2.8062369115650654,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
95,2.8118764236569405,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
96,2.792465850710869,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
97,2.801518190652132,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
98,2.791371438652277,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
99,2.8089129962027073,7488.97900390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
