image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.4495328888297081,6082.91650390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
1,0.44988109986297786,6082.91650390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
2,0.45065070618875325,6082.91650390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
3,0.4517210051417351,6082.91650390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
4,0.45171982096508145,6082.91650390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
5,0.45244870986789465,6082.91650390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
6,0.4526781039312482,6082.91650390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
7,0.4526853240095079,6082.91650390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
8,0.4528362760320306,6082.91650390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
9,0.4526789130177349,6082.91650390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
10,0.45272266305983067,6082.91650390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
11,0.45271849795244634,6082.91650390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
12,0.4527355709578842,6082.91650390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
13,0.45263390708714724,6082.91650390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
14,0.45249158702790737,6082.91650390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
15,0.45318049215711653,6082.91650390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
16,0.45281580090522766,6082.91650390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
17,0.45228606811724603,6082.91650390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
18,0.45268258498981595,6082.91650390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
19,0.45290045998990536,6082.91650390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
20,0.452278601936996,6082.91650390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
21,0.4526818909216672,6082.91650390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
22,0.45342085999436677,6082.91650390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
23,0.45260593108832836,6082.91650390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
24,0.45302898809313774,6082.91650390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
25,0.4548363839276135,6082.91650390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
26,0.4517135419882834,6082.91650390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
27,0.45231357077136636,6082.91650390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
28,0.4520317050628364,6082.91650390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
29,0.4486587471328676,6082.91650390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
30,0.4532037649769336,6082.91650390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
31,0.4540630660485476,6082.91650390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
32,0.4535536498297006,6082.91650390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
33,0.45444945991039276,6082.91650390625,0.0,IntegratedGradients,vit-b-16,ImageNet,1
