image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,2.311009529978037,14.103515625,0.19140625,LIME,convnext-t,CIFAR10,1
1,2.3121126107871532,14.103515625,0.19140625,LIME,convnext-t,CIFAR10,1
2,2.30992366746068,14.103515625,0.19140625,LIME,convnext-t,CIFAR10,1
3,2.3151437118649483,14.103515625,0.19140625,LIME,convnext-t,CIFAR10,1
4,2.3192740716040134,14.103515625,0.19140625,LIME,convnext-t,CIFAR10,1
5,2.3377161659300327,14.103515625,0.19140625,LIME,convnext-t,CIFAR10,1
6,2.321203835308552,14.103515625,0.19140625,LIME,convnext-t,CIFAR10,1
7,2.3283161967992783,14.103515625,0.19140625,LIME,convnext-t,CIFAR10,1
8,2.3333010897040367,14.103515625,0.19140625,LIME,convnext-t,CIFAR10,1
9,2.310603689402342,14.103515625,0.19140625,LIME,convnext-t,CIFAR10,1
10,2.327238902449608,14.103515625,0.19140625,LIME,convnext-t,CIFAR10,1
11,2.322877135127783,14.103515625,0.19140625,LIME,convnext-t,CIFAR10,1
12,2.3334763683378696,14.103515625,0.19140625,LIME,convnext-t,CIFAR10,1
13,2.345103371888399,14.103515625,0.19140625,LIME,convnext-t,CIFAR10,1
14,2.345004118978977,14.103515625,0.19140625,LIME,convnext-t,CIFAR10,1
15,2.3557641208171844,14.103515625,0.19140625,LIME,convnext-t,CIFAR10,1
16,2.3195971325039864,14.103515625,0.19140625,LIME,convnext-t,CIFAR10,1
17,2.322604540735483,14.103515625,0.19140625,LIME,convnext-t,CIFAR10,1
18,2.371912032365799,14.103515625,0.19140625,LIME,convnext-t,CIFAR10,1
19,2.3750696033239365,14.103515625,0.19140625,LIME,convnext-t,CIFAR10,1
20,2.3205095753073692,14.103515625,0.19140625,LIME,convnext-t,CIFAR10,1
21,2.3065748028457165,14.103515625,0.19140625,LIME,convnext-t,CIFAR10,1
22,2.3208061195909977,14.103515625,0.19140625,LIME,convnext-t,CIFAR10,1
23,2.3400631099939346,14.103515625,0.19140625,LIME,convnext-t,CIFAR10,1
24,2.344098448753357,14.103515625,0.19140625,LIME,convnext-t,CIFAR10,1
25,2.3595363460481167,14.103515625,0.19140625,LIME,convnext-t,CIFAR10,1
26,2.339801348745823,14.103515625,0.19140625,LIME,convnext-t,CIFAR10,1
27,2.361438762396574,14.103515625,0.19140625,LIME,convnext-t,CIFAR10,1
28,2.3391101621091366,14.103515625,0.19140625,LIME,convnext-t,CIFAR10,1
29,2.3179156742990017,14.103515625,0.19140625,LIME,convnext-t,CIFAR10,1
30,2.3199533969163895,14.103515625,0.19140625,LIME,convnext-t,CIFAR10,1
