image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,2.2788650803267956,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
1,2.278425268828869,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
2,2.2860595285892487,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
3,2.285849168896675,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
4,2.2820448838174343,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
5,2.274505950510502,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
6,2.274780511856079,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
7,2.585931036621332,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
8,2.2760435231029987,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
9,2.276727005839348,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
10,2.2766349278390408,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
11,2.275789301842451,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
12,2.2757581807672977,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
13,2.275036420673132,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
14,2.2708061411976814,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
15,2.2741700783371925,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
16,2.2752273082733154,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
17,2.269713006913662,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
18,2.276481084525585,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
19,2.277235608547926,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
20,2.2920591682195663,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
21,2.279905118048191,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
22,2.281494580209255,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
23,2.2796801067888737,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
24,2.269949719309807,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
25,2.275109425187111,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
26,2.2717977948486805,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
27,2.2711350955069065,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
28,2.274450596421957,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
29,2.2782898880541325,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
30,2.2725632935762405,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
31,2.273505076766014,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
32,2.2712049148976803,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
33,2.2805465757846832,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
34,2.281824380159378,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
35,2.276685941964388,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
36,2.2783453911542892,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
37,2.275826223194599,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
38,2.278666313737631,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
39,2.2730231545865536,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
40,2.2724178172647953,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
41,2.278348796069622,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
42,2.290344685316086,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
43,2.2727691493928432,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
44,2.2777160853147507,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
45,2.278301976621151,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
46,2.2791342101991177,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
47,2.2736091427505016,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
48,2.2775328159332275,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
49,2.271324433386326,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
50,2.2754123993217945,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
51,2.2767161577939987,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
52,2.268986191600561,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
53,2.272579237818718,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
54,2.275583181530237,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
55,2.280494559556246,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
56,2.2765113823115826,15.541015625,0.19140625,LIME,convnext-t,CIFAR10,1
