image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.5284131360240281,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
1,0.5424488938879222,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
2,0.5402217919472605,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
3,0.5313826319761574,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
4,0.5245497319847345,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
5,0.5273661089595407,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
6,0.5272638290189207,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
7,0.5273330179043114,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
8,0.5354753350839019,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
9,0.5311966890003532,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
10,0.526845142012462,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
11,0.5286057349294424,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
12,0.5265675948467106,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
13,0.5279606140684336,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
14,0.5397212461102754,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
15,0.5287900059483945,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
16,0.524795699166134,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
17,0.5245536200236529,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
18,0.526009890018031,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
19,0.5257082900498062,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
20,0.5524714649654925,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
21,0.5307840660680085,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
22,0.5270584528334439,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
23,0.5254636220633984,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
24,0.5272364949341863,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
25,0.5290904028806835,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
26,0.528812567004934,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
27,0.5246687880717218,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
28,0.5298372060060501,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
29,0.5251650579739362,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
30,0.5285273408517241,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
31,0.5274826120585203,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
32,0.5280473339371383,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
33,0.5307836520951241,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
34,0.5320167301688343,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
35,0.5323368299286813,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
36,0.5249502081423998,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
37,0.5298509870190173,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
38,0.5277515409979969,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
39,0.5575706558302045,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
40,0.5298679068218917,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
41,0.5283726640045643,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
42,0.5298975568730384,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
43,0.5258214930072427,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
44,0.5280321449972689,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
45,0.5253969170153141,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
46,0.5289370869286358,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
47,0.5320288580842316,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
48,0.5276732230558991,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
49,0.5324105569161475,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
50,0.5263035409152508,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
51,0.5269879868719727,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
52,0.5307592160534114,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
53,0.5345075489021838,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
54,0.5366737239528447,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
55,0.5276277291122824,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
56,0.5267979342024773,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
57,0.5426872209645808,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
58,0.5439538890495896,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
59,0.5309464961756021,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
60,0.5262034181505442,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
61,0.5274613820947707,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
62,0.5252425321377814,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
63,0.526760920882225,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
64,0.5372141529805958,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
65,0.546624006005004,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
66,0.5404426048044115,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
67,0.549390854081139,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
68,0.5447945860214531,14.572265625,0.19140625,LIME,convnext-t,CIFAR10,1
