image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,2.3006748780608177,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
1,2.3272693641483784,14.59375,0.19140625,LIME,convnext-t,ImageNet,1
2,2.351218868046999,14.59375,0.19140625,LIME,convnext-t,ImageNet,1
3,2.317212376743555,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
4,2.340266477316618,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
5,2.322050489485264,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
6,2.3295091688632965,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
7,2.2989017255604267,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
8,2.29036957398057,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
9,2.315785448998213,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
10,2.3345121778547764,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
11,2.3292529992759228,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
12,2.348903451114893,14.59375,0.19140625,LIME,convnext-t,ImageNet,1
13,2.3272649198770523,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
14,2.3538462556898594,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
15,2.3179160319268703,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
16,2.324435230344534,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
17,2.371504008769989,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
18,2.3872296437621117,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
19,2.349626213312149,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
20,2.33281334862113,14.59375,0.19140625,LIME,convnext-t,ImageNet,1
21,2.326150257140398,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
22,2.3281815089285374,14.59375,0.19140625,LIME,convnext-t,ImageNet,1
23,2.3351439125835896,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
24,2.321980085223913,14.59375,0.19140625,LIME,convnext-t,ImageNet,1
25,2.3113219030201435,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
26,2.323479488492012,14.59375,0.19140625,LIME,convnext-t,ImageNet,1
27,2.316228147596121,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
28,2.3089233338832855,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
29,2.365442030131817,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
30,2.333811104297638,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
31,2.34954247623682,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
32,2.3492564372718334,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
33,2.348458256572485,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
34,2.3500991761684418,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
35,2.338082391768694,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
36,2.3268038406968117,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
37,2.31184821203351,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
38,2.315888248383999,14.59375,0.19140625,LIME,convnext-t,ImageNet,1
39,2.317974016070366,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
40,2.34024715423584,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
41,2.326306540518999,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
42,2.341928169131279,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
43,2.3249958641827106,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
44,2.3175900876522064,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
45,2.3117469623684883,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
46,2.315221220254898,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
47,2.3322725743055344,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
48,2.339542828500271,14.59375,0.19140625,LIME,convnext-t,ImageNet,1
49,2.3157150372862816,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
50,2.344651624560356,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
51,2.3455503806471825,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
52,2.3267927095294,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
53,2.3617155738174915,14.59375,0.19140625,LIME,convnext-t,ImageNet,1
54,2.344760239124298,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
55,2.387073304504156,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
56,2.351958643645048,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
57,2.3221033327281475,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
58,2.3225903399288654,14.59375,0.19140625,LIME,convnext-t,ImageNet,1
59,2.3191180899739265,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
60,2.3294014297425747,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
61,2.3404578380286694,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
62,2.327625758945942,14.642578125,0.19140625,LIME,convnext-t,ImageNet,1
