image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,3.598520450294018,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
1,3.5868727788329124,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
2,3.1657094173133373,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
3,3.673936139792204,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
4,3.275944873690605,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
5,3.421972818672657,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
6,3.6229484044015408,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
7,3.411733530461788,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
8,3.4360653571784496,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
9,3.4441364258527756,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
10,3.917080160230398,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
11,3.7024081349372864,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
12,3.2492365650832653,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
13,3.2508791014552116,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
14,3.3188677951693535,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
15,4.287646323442459,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
16,3.9155214615166187,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
17,3.357624176889658,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
18,3.4312112033367157,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
19,3.39984168112278,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
20,4.061450984328985,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
21,3.7412140741944313,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
22,3.9430840462446213,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
23,4.381314940750599,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
24,3.5226470306515694,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
25,3.6895656622946262,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
26,3.749206092208624,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
27,4.072368260473013,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
28,3.297964159399271,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
29,3.098313145339489,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
30,3.78971441462636,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
31,3.459979273378849,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
32,3.468018438667059,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
33,3.2813521437346935,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
34,3.369156137108803,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
35,3.1916871331632137,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
36,3.901002872735262,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
37,3.26168080419302,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
38,3.4400514513254166,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
39,3.7541658245027065,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
40,3.2851786203682423,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
41,3.556705854833126,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
42,3.6177747324109077,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
43,3.3717197477817535,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
44,3.551332328468561,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
45,4.523764260113239,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
46,3.4215055219829082,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
47,4.099182639271021,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
48,4.2276938781142235,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
49,3.5578608587384224,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
50,3.5152229741215706,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
51,3.2577882409095764,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
52,3.440587218850851,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
53,3.639158234000206,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
54,3.98416768014431,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
55,3.659586053341627,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
56,4.07075783982873,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
57,3.7568614408373833,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
58,4.145983777940273,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
59,3.3038209304213524,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
60,4.208875935524702,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
61,3.4692241437733173,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
62,3.551482044160366,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
63,4.16701815277338,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
64,3.729997184127569,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
65,3.618645042181015,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
66,3.7647548243403435,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
67,4.4935747012495995,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
68,3.916082698851824,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
69,3.217762593179941,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
70,3.5125786401331425,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
71,4.027908384799957,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
72,3.6457504853606224,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
73,3.2535416409373283,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
74,4.187138807028532,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
75,4.560560163110495,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
76,4.0825067684054375,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
77,4.091535232961178,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
78,3.7098947279155254,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
79,3.6241421066224575,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
80,3.835125420242548,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
81,3.5295039005577564,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
82,3.6750358492136,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
83,3.310543179512024,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
84,3.2648946456611156,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
85,3.4180052503943443,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
86,3.4636777490377426,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
87,3.9832866080105305,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
88,3.3901300728321075,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
89,3.2905390821397305,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
90,3.6708137467503548,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
91,3.361914783716202,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
92,4.017420195043087,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
93,3.9848903827369213,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
94,3.3495426326990128,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
95,3.9536088332533836,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
96,3.5985312797129154,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
97,3.2658377662301064,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
98,3.8100509718060493,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
99,3.600257072597742,12.6201171875,0.19140625,LIME,densenet121,CIFAR10,1
