image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,3.3173369988799095,13.365234375,0.19140625,LIME,densenet121,ImageNet,1
1,3.7714340724051,13.365234375,0.19140625,LIME,densenet121,ImageNet,1
2,3.6268889643251896,13.31640625,0.19140625,LIME,densenet121,ImageNet,1
3,3.37851070985198,13.365234375,0.19140625,LIME,densenet121,ImageNet,1
4,3.4616737626492977,13.365234375,0.19140625,LIME,densenet121,ImageNet,1
5,3.5899448208510876,13.365234375,0.19140625,LIME,densenet121,ImageNet,1
6,3.4211076386272907,13.365234375,0.19140625,LIME,densenet121,ImageNet,1
7,3.582702159881592,13.365234375,0.19140625,LIME,densenet121,ImageNet,1
8,3.349665232002735,13.365234375,0.19140625,LIME,densenet121,ImageNet,1
9,3.5354489758610725,13.365234375,0.19140625,LIME,densenet121,ImageNet,1
10,3.410367801785469,13.365234375,0.19140625,LIME,densenet121,ImageNet,1
11,3.5545489750802517,13.365234375,0.19140625,LIME,densenet121,ImageNet,1
12,3.8499767035245895,13.365234375,0.19140625,LIME,densenet121,ImageNet,1
13,3.6457669734954834,13.31640625,0.19140625,LIME,densenet121,ImageNet,1
14,4.134085673838854,13.365234375,0.19140625,LIME,densenet121,ImageNet,1
15,3.7898486889898777,13.365234375,0.19140625,LIME,densenet121,ImageNet,1
16,3.6747784055769444,13.365234375,0.19140625,LIME,densenet121,ImageNet,1
17,3.3270523101091385,13.365234375,0.19140625,LIME,densenet121,ImageNet,1
18,3.227111551910639,13.365234375,0.19140625,LIME,densenet121,ImageNet,1
19,3.251986350864172,13.365234375,0.19140625,LIME,densenet121,ImageNet,1
20,3.826016291975975,13.365234375,0.19140625,LIME,densenet121,ImageNet,1
21,3.341627858579159,13.31640625,0.19140625,LIME,densenet121,ImageNet,1
22,3.4722332544624805,13.365234375,0.19140625,LIME,densenet121,ImageNet,1
23,3.5053283758461475,13.365234375,0.19140625,LIME,densenet121,ImageNet,1
24,3.7803090028464794,13.31640625,0.19140625,LIME,densenet121,ImageNet,1
25,4.101171348243952,13.365234375,0.19140625,LIME,densenet121,ImageNet,1
26,3.6550807990133762,13.365234375,0.19140625,LIME,densenet121,ImageNet,1
27,3.2957954071462154,13.365234375,0.19140625,LIME,densenet121,ImageNet,1
28,3.3619873449206352,13.365234375,0.19140625,LIME,densenet121,ImageNet,1
29,3.3867309615015984,13.365234375,0.19140625,LIME,densenet121,ImageNet,1
30,3.3874542340636253,13.365234375,0.19140625,LIME,densenet121,ImageNet,1
31,3.8315785489976406,13.365234375,0.19140625,LIME,densenet121,ImageNet,1
32,3.6182917840778828,13.31640625,0.19140625,LIME,densenet121,ImageNet,1
33,3.6248258762061596,13.31640625,0.19140625,LIME,densenet121,ImageNet,1
34,3.8748095892369747,13.365234375,0.19140625,LIME,densenet121,ImageNet,1
35,3.4792660921812057,13.365234375,0.19140625,LIME,densenet121,ImageNet,1
36,3.3068163581192493,13.365234375,0.19140625,LIME,densenet121,ImageNet,1
37,3.816119458526373,13.365234375,0.19140625,LIME,densenet121,ImageNet,1
38,3.3016346991062164,13.365234375,0.19140625,LIME,densenet121,ImageNet,1
39,4.28153994306922,13.365234375,0.19140625,LIME,densenet121,ImageNet,1
40,4.069797597825527,13.31640625,0.19140625,LIME,densenet121,ImageNet,1
41,3.496458873152733,13.365234375,0.19140625,LIME,densenet121,ImageNet,1
42,3.260438844561577,13.365234375,0.19140625,LIME,densenet121,ImageNet,1
43,4.021777678281069,13.365234375,0.19140625,LIME,densenet121,ImageNet,1
44,3.359166968613863,13.365234375,0.19140625,LIME,densenet121,ImageNet,1
45,3.2750656120479107,13.365234375,0.19140625,LIME,densenet121,ImageNet,1
46,3.280660208314657,13.365234375,0.19140625,LIME,densenet121,ImageNet,1
