image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,1.3360778561327606,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
1,1.375977573217824,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
2,1.3402441130019724,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
3,1.3398392139934003,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
4,1.340033691143617,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
5,1.338988290168345,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
6,1.3518237702082843,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
7,1.3390485160052776,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
8,1.3608279009349644,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
9,1.3467663349583745,137.640625,0.19140625,LIME,densenet121,ImageNet,1
10,1.3391166380606592,137.640625,0.19140625,LIME,densenet121,ImageNet,1
11,1.3323517888784409,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
12,1.3485108111053705,137.640625,0.19140625,LIME,densenet121,ImageNet,1
13,1.3505073979031295,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
14,1.385621357942,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
15,1.3562079071998596,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
16,1.34341414202936,137.640625,0.19140625,LIME,densenet121,ImageNet,1
17,1.344348143786192,137.640625,0.19140625,LIME,densenet121,ImageNet,1
18,1.3364828838966787,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
19,1.3340318358968943,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
20,1.3431806629523635,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
21,1.3434331689495593,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
22,1.333876600023359,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
23,1.3663882398977876,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
24,1.3365298898424953,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
25,1.3404013130348176,137.640625,0.19140625,LIME,densenet121,ImageNet,1
26,1.3351255781017244,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
27,1.336237016133964,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
28,1.3514577210880816,137.640625,0.19140625,LIME,densenet121,ImageNet,1
29,1.3456067780498415,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
30,1.3592160639818758,137.640625,0.19140625,LIME,densenet121,ImageNet,1
31,1.3403220039326698,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
32,1.3375323170330375,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
33,1.3404960830230266,137.640625,0.19140625,LIME,densenet121,ImageNet,1
34,1.3483838220126927,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
35,1.3472761020530015,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
36,1.3472663529682904,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
37,1.351755761075765,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
38,1.3568271920084953,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
39,1.336921659996733,137.640625,0.19140625,LIME,densenet121,ImageNet,1
40,1.3638187020551413,137.640625,0.19140625,LIME,densenet121,ImageNet,1
41,1.3682309482246637,137.640625,0.19140625,LIME,densenet121,ImageNet,1
42,1.3928266339935362,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
43,1.366333625977859,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
44,1.3390991589985788,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
45,1.3683910619001836,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
46,1.338546406943351,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
47,1.3364378400146961,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
48,1.3438809120561928,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
49,1.3359190279152244,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
50,1.3500703747849911,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
51,1.339428136125207,137.640625,0.19140625,LIME,densenet121,ImageNet,1
52,1.3638004951644689,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
53,1.3405909819994122,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
54,1.3380058568436652,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
55,1.3365502420347184,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
56,1.3498842800036073,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
57,1.3464407559949905,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
58,1.3400716881733388,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
59,1.3579305049497634,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
60,1.3584330710582435,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
61,1.339678053976968,137.640625,0.19140625,LIME,densenet121,ImageNet,1
62,1.3538861139677465,137.640625,0.19140625,LIME,densenet121,ImageNet,1
63,1.3443007150199264,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
64,1.3371655328664929,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
65,1.3437094478867948,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
66,1.3386798149440438,137.640625,0.19140625,LIME,densenet121,ImageNet,1
67,1.3724432459566742,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
68,1.3470837699715048,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
69,1.339127168059349,137.640625,0.19140625,LIME,densenet121,ImageNet,1
70,1.3391269471030682,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
71,1.334307833109051,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
72,1.3410780979320407,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
73,1.3433624049648643,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
74,1.3620870730374008,137.640625,0.19140625,LIME,densenet121,ImageNet,1
75,1.3383387529756874,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
76,1.337587818969041,137.640625,0.19140625,LIME,densenet121,ImageNet,1
77,1.3382453110534698,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
78,1.352001111023128,137.640625,0.19140625,LIME,densenet121,ImageNet,1
79,1.3449441259726882,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
80,1.334958472987637,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
81,1.3528225470799953,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
82,1.361220178194344,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
83,1.3375020988751203,137.640625,0.19140625,LIME,densenet121,ImageNet,1
84,1.3504766409751028,137.640625,0.19140625,LIME,densenet121,ImageNet,1
85,1.3745605861768126,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
86,1.3812426270451397,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
87,1.3604565039277077,137.640625,0.19140625,LIME,densenet121,ImageNet,1
88,1.3377956291660666,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
89,1.3655410769861192,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
90,1.340529432054609,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
91,1.337207491043955,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
92,1.3387257598806173,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
93,1.3390963759738952,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
94,1.344117369968444,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
95,1.3470445680432022,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
96,1.3616369620431215,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
97,1.3414291799999774,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
98,1.3343480010516942,137.640625,0.19140625,LIME,densenet121,ImageNet,1
99,1.3317081509158015,137.689453125,0.19140625,LIME,densenet121,ImageNet,1
