image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,3.3499066680669785,13.31640625,0.19140625,LIME,densenet121,STL10,1
1,3.4073426611721516,13.365234375,0.19140625,LIME,densenet121,STL10,1
2,3.4982821568846703,13.365234375,0.19140625,LIME,densenet121,STL10,1
3,4.170229498296976,13.365234375,0.19140625,LIME,densenet121,STL10,1
4,4.3732082061469555,13.365234375,0.19140625,LIME,densenet121,STL10,1
5,3.92628313601017,13.365234375,0.19140625,LIME,densenet121,STL10,1
6,3.2741104289889336,13.365234375,0.19140625,LIME,densenet121,STL10,1
7,3.3543582893908024,13.365234375,0.19140625,LIME,densenet121,STL10,1
8,3.591717280447483,13.365234375,0.19140625,LIME,densenet121,STL10,1
9,3.4035248197615147,13.365234375,0.19140625,LIME,densenet121,STL10,1
10,3.5841944254934788,13.365234375,0.19140625,LIME,densenet121,STL10,1
11,4.276562195271254,13.365234375,0.19140625,LIME,densenet121,STL10,1
12,3.504389837384224,13.365234375,0.19140625,LIME,densenet121,STL10,1
13,4.226593770086765,13.365234375,0.19140625,LIME,densenet121,STL10,1
14,3.828802052885294,13.365234375,0.19140625,LIME,densenet121,STL10,1
15,3.651936635375023,13.365234375,0.19140625,LIME,densenet121,STL10,1
16,3.1517013423144817,13.365234375,0.19140625,LIME,densenet121,STL10,1
17,3.628643661737442,13.365234375,0.19140625,LIME,densenet121,STL10,1
18,3.5146161690354347,13.365234375,0.19140625,LIME,densenet121,STL10,1
19,3.6015666238963604,13.365234375,0.19140625,LIME,densenet121,STL10,1
20,4.144190277904272,13.365234375,0.19140625,LIME,densenet121,STL10,1
21,3.5911283530294895,13.365234375,0.19140625,LIME,densenet121,STL10,1
22,3.8068820647895336,13.365234375,0.19140625,LIME,densenet121,STL10,1
23,4.527747355401516,13.365234375,0.19140625,LIME,densenet121,STL10,1
24,3.5180769860744476,13.365234375,0.19140625,LIME,densenet121,STL10,1
25,4.15129529312253,13.365234375,0.19140625,LIME,densenet121,STL10,1
26,3.740489400923252,13.365234375,0.19140625,LIME,densenet121,STL10,1
27,3.757205482572317,13.365234375,0.19140625,LIME,densenet121,STL10,1
28,3.754058003425598,13.365234375,0.19140625,LIME,densenet121,STL10,1
29,3.548410877585411,13.365234375,0.19140625,LIME,densenet121,STL10,1
30,3.767558451741934,13.365234375,0.19140625,LIME,densenet121,STL10,1
31,3.672542903572321,13.365234375,0.19140625,LIME,densenet121,STL10,1
32,3.2722943015396595,13.365234375,0.19140625,LIME,densenet121,STL10,1
33,3.661364495754242,13.365234375,0.19140625,LIME,densenet121,STL10,1
34,3.18549183011055,13.365234375,0.19140625,LIME,densenet121,STL10,1
35,3.624906465411186,13.365234375,0.19140625,LIME,densenet121,STL10,1
36,3.7864068262279034,13.365234375,0.19140625,LIME,densenet121,STL10,1
37,3.4298242144286633,13.365234375,0.19140625,LIME,densenet121,STL10,1
38,3.6529739052057266,13.365234375,0.19140625,LIME,densenet121,STL10,1
39,3.542807772755623,13.365234375,0.19140625,LIME,densenet121,STL10,1
40,3.7526393868029118,13.365234375,0.19140625,LIME,densenet121,STL10,1
41,4.453469600528479,13.365234375,0.19140625,LIME,densenet121,STL10,1
42,3.505137402564287,13.365234375,0.19140625,LIME,densenet121,STL10,1
43,3.451086264103651,13.365234375,0.19140625,LIME,densenet121,STL10,1
44,4.351749084889889,13.365234375,0.19140625,LIME,densenet121,STL10,1
45,3.2814448177814484,13.365234375,0.19140625,LIME,densenet121,STL10,1
46,3.546494659036398,13.365234375,0.19140625,LIME,densenet121,STL10,1
47,3.4381822645664215,13.365234375,0.19140625,LIME,densenet121,STL10,1
48,3.6569479405879974,13.365234375,0.19140625,LIME,densenet121,STL10,1
49,4.029656898230314,13.365234375,0.19140625,LIME,densenet121,STL10,1
50,4.106878228485584,13.365234375,0.19140625,LIME,densenet121,STL10,1
51,4.337459061294794,13.365234375,0.19140625,LIME,densenet121,STL10,1
52,3.8115070052444935,13.365234375,0.19140625,LIME,densenet121,STL10,1
53,3.54550489038229,13.365234375,0.19140625,LIME,densenet121,STL10,1
54,3.4903868325054646,13.365234375,0.19140625,LIME,densenet121,STL10,1
55,3.4309665113687515,13.365234375,0.19140625,LIME,densenet121,STL10,1
