image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,1.6715600118041039,12.443359375,0.19140625,LIME,densenet121,STL10,1
1,1.8529216162860394,12.443359375,0.19140625,LIME,densenet121,STL10,1
2,1.7664245627820492,12.443359375,0.19140625,LIME,densenet121,STL10,1
3,1.83225666731596,12.443359375,0.19140625,LIME,densenet121,STL10,1
4,1.730285756289959,12.443359375,0.19140625,LIME,densenet121,STL10,1
5,1.6574518457055092,12.443359375,0.19140625,LIME,densenet121,STL10,1
6,1.6949101649224758,12.443359375,0.19140625,LIME,densenet121,STL10,1
7,1.7008374370634556,12.443359375,0.19140625,LIME,densenet121,STL10,1
8,1.8148960769176483,12.443359375,0.19140625,LIME,densenet121,STL10,1
9,1.7440371699631214,12.443359375,0.19140625,LIME,densenet121,STL10,1
10,1.8449084088206291,12.443359375,0.19140625,LIME,densenet121,STL10,1
11,1.8397956863045692,12.443359375,0.19140625,LIME,densenet121,STL10,1
12,2.3264344185590744,12.443359375,0.19140625,LIME,densenet121,STL10,1
13,3.4217518158257008,12.443359375,0.19140625,LIME,densenet121,STL10,1
14,3.416299778968096,12.443359375,0.19140625,LIME,densenet121,STL10,1
15,3.423023283481598,12.443359375,0.19140625,LIME,densenet121,STL10,1
16,1.747445773333311,12.443359375,0.19140625,LIME,densenet121,STL10,1
17,1.794755157083273,12.443359375,0.19140625,LIME,densenet121,STL10,1
18,1.7039443664252758,12.443359375,0.19140625,LIME,densenet121,STL10,1
19,1.6355577930808067,12.443359375,0.19140625,LIME,densenet121,STL10,1
20,1.5924506485462189,12.443359375,0.19140625,LIME,densenet121,STL10,1
21,1.6594941206276417,12.443359375,0.19140625,LIME,densenet121,STL10,1
22,1.6543651446700096,12.443359375,0.19140625,LIME,densenet121,STL10,1
23,3.146598283201456,12.443359375,0.19140625,LIME,densenet121,STL10,1
24,3.4217451699078083,12.443359375,0.19140625,LIME,densenet121,STL10,1
25,3.420776717364788,12.443359375,0.19140625,LIME,densenet121,STL10,1
26,1.6644673570990562,12.443359375,0.19140625,LIME,densenet121,STL10,1
27,1.6126548051834106,12.443359375,0.19140625,LIME,densenet121,STL10,1
28,1.7034894190728664,12.443359375,0.19140625,LIME,densenet121,STL10,1
29,1.749419942498207,12.443359375,0.19140625,LIME,densenet121,STL10,1
30,1.6936316676437855,12.443359375,0.19140625,LIME,densenet121,STL10,1
31,1.829523928463459,12.443359375,0.19140625,LIME,densenet121,STL10,1
32,1.6580818146467209,12.443359375,0.19140625,LIME,densenet121,STL10,1
33,1.6333465911448002,12.443359375,0.19140625,LIME,densenet121,STL10,1
34,1.7191331461071968,12.443359375,0.19140625,LIME,densenet121,STL10,1
35,1.636985581368208,12.443359375,0.19140625,LIME,densenet121,STL10,1
36,1.6961131505668163,12.443359375,0.19140625,LIME,densenet121,STL10,1
37,1.6420928873121738,12.443359375,0.19140625,LIME,densenet121,STL10,1
38,1.7499610371887684,12.443359375,0.19140625,LIME,densenet121,STL10,1
39,1.6363945305347443,12.443359375,0.19140625,LIME,densenet121,STL10,1
40,1.8370575867593288,12.443359375,0.19140625,LIME,densenet121,STL10,1
41,1.732118770480156,12.443359375,0.19140625,LIME,densenet121,STL10,1
42,3.148594878613949,12.443359375,0.19140625,LIME,densenet121,STL10,1
43,3.42052548378706,12.443359375,0.19140625,LIME,densenet121,STL10,1
44,3.420039426535368,12.443359375,0.19140625,LIME,densenet121,STL10,1
45,3.4230515882372856,12.443359375,0.19140625,LIME,densenet121,STL10,1
46,3.4181199073791504,12.443359375,0.19140625,LIME,densenet121,STL10,1
47,3.417628787457943,12.443359375,0.19140625,LIME,densenet121,STL10,1
48,3.419954240322113,12.443359375,0.19140625,LIME,densenet121,STL10,1
49,2.1330038234591484,12.443359375,0.19140625,LIME,densenet121,STL10,1
50,1.687524851411581,12.443359375,0.19140625,LIME,densenet121,STL10,1
51,1.7122879959642887,12.443359375,0.19140625,LIME,densenet121,STL10,1
52,1.6617645472288132,12.443359375,0.19140625,LIME,densenet121,STL10,1
53,1.742769967764616,12.443359375,0.19140625,LIME,densenet121,STL10,1
54,1.7031576856970787,12.443359375,0.19140625,LIME,densenet121,STL10,1
55,1.729677900671959,12.443359375,0.19140625,LIME,densenet121,STL10,1
56,1.649398148059845,12.443359375,0.19140625,LIME,densenet121,STL10,1
57,1.66090477257967,12.443359375,0.19140625,LIME,densenet121,STL10,1
58,1.6896693035960197,12.443359375,0.19140625,LIME,densenet121,STL10,1
59,1.7320088930428028,12.443359375,0.19140625,LIME,densenet121,STL10,1
60,1.7456504106521606,12.443359375,0.19140625,LIME,densenet121,STL10,1
61,1.8037283346056938,12.443359375,0.19140625,LIME,densenet121,STL10,1
62,1.727403037250042,12.443359375,0.19140625,LIME,densenet121,STL10,1
63,1.6294851265847683,12.443359375,0.19140625,LIME,densenet121,STL10,1
64,1.7488321252167225,12.443359375,0.19140625,LIME,densenet121,STL10,1
65,1.6737961173057556,12.443359375,0.19140625,LIME,densenet121,STL10,1
66,1.6804100759327412,12.443359375,0.19140625,LIME,densenet121,STL10,1
67,1.8067415989935398,12.443359375,0.19140625,LIME,densenet121,STL10,1
68,1.8306590393185616,12.443359375,0.19140625,LIME,densenet121,STL10,1
69,2.5301878303289413,12.443359375,0.19140625,LIME,densenet121,STL10,1
70,3.422058794647455,12.443359375,0.19140625,LIME,densenet121,STL10,1
71,3.421250183135271,12.443359375,0.19140625,LIME,densenet121,STL10,1
72,3.4224842116236687,12.443359375,0.19140625,LIME,densenet121,STL10,1
73,3.4243256710469723,12.443359375,0.19140625,LIME,densenet121,STL10,1
