image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,1.6697173714637756,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
1,1.8695491626858711,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
2,2.1851130835711956,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
3,1.7974671050906181,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
4,2.0448822155594826,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
5,1.825517013669014,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
6,2.0375676192343235,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
7,2.1034691631793976,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
8,1.5170243568718433,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
9,1.8822775483131409,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
10,1.6522865071892738,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
11,2.1922858245670795,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
12,1.7620441913604736,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
13,1.7213997431099415,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
14,1.846087284386158,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
15,1.555632721632719,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
16,1.6576186642050743,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
17,1.6034828275442123,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
18,1.7121398597955704,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
19,2.05238950625062,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
20,1.9531365893781185,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
21,1.6869232580065727,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
22,1.5587748922407627,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
23,1.572878886014223,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
24,1.5857983902096748,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
25,1.7981032580137253,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
26,1.5059304796159267,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
27,1.593421809375286,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
28,1.7416013777256012,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
29,1.6282400973141193,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
30,1.6183952018618584,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
31,1.5633978582918644,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
32,1.6361615434288979,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
33,2.045891609042883,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
34,1.7008173763751984,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
35,1.6257307939231396,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
36,1.8539706021547318,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
37,1.688775334507227,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
38,1.671286728233099,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
39,1.7941622771322727,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
40,2.0798939652740955,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
