image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.9168472476303577,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
1,0.9482418037950993,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
2,0.9429259151220322,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
3,0.8931757509708405,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
4,0.9056195430457592,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
5,0.8965909443795681,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
6,0.8824380226433277,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
7,0.8996559679508209,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
8,0.9607620798051357,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
9,0.9346581883728504,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
10,0.9844290725886822,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
11,0.9167145006358624,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
12,0.9449068605899811,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
13,0.9569820165634155,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
14,0.9312074743211269,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
15,0.9978350885212421,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
16,0.8738408386707306,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
17,0.9003949016332626,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
18,0.9196687825024128,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
19,0.9326836317777634,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
20,0.9559599123895168,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
21,0.9003164730966091,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
22,0.8974534496665001,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
23,0.9161336719989777,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
24,1.181903026998043,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
25,1.2030859366059303,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
26,1.2053686045110226,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
27,1.2294821739196777,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
28,1.1984440386295319,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
29,1.2304065972566605,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
30,1.2001562155783176,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
31,1.2019941322505474,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
32,1.215418517589569,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
33,1.1981854774057865,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
34,1.2132035419344902,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
35,1.2079558558762074,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
36,1.2059397175908089,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
37,1.2511206977069378,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
38,0.9416215494275093,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
39,0.9297771565616131,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
40,0.9532273039221764,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
41,0.9697728529572487,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
42,0.9675654172897339,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
43,1.0001178942620754,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
44,0.939111839979887,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
45,0.959000751376152,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
46,0.9522510468959808,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
47,0.9913185499608517,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
48,0.9803871549665928,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
49,0.8947733826935291,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
50,0.926684707403183,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
51,1.068607047200203,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
52,0.934415515512228,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
53,0.9437448084354401,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
54,0.9294694699347019,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
55,1.0258320197463036,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
56,1.004934199154377,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
57,0.9985250011086464,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
58,1.0371006987988949,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
59,0.939878337085247,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
60,0.9304722957313061,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
61,0.9314620345830917,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
62,0.9595963358879089,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
63,0.9724675416946411,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
64,0.9607206657528877,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
65,0.8984280303120613,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
66,0.939045000821352,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
67,0.9658618457615376,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
68,1.0031370297074318,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
69,0.9640467464923859,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
70,0.9489014483988285,12.017578125,0.19140625,LIME,efficientnet-b0,CIFAR10,1
