image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,1.9667214378714561,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
1,1.5499982833862305,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
2,1.6587159521877766,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
3,1.5610465183854103,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
4,1.9571029841899872,11.96875,0.19140625,LIME,efficientnet-b0,STL10,1
5,1.8636077493429184,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
6,1.557240005582571,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
7,1.5874797068536282,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
8,1.6998003982007504,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
9,1.647250261157751,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
10,1.604913242161274,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
11,1.7899953909218311,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
12,2.031754393130541,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
13,1.7161684222519398,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
14,1.8886708654463291,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
15,1.6126921623945236,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
16,1.551010012626648,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
17,1.5563843846321106,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
18,1.6661754287779331,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
19,1.607711486518383,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
20,1.631074208766222,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
21,1.5890679880976677,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
22,1.623675525188446,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
23,1.6074946001172066,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
24,1.622646003961563,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
25,1.9426605552434921,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
26,1.6187829039990902,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
27,1.6284844726324081,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
28,1.616547953337431,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
29,1.7807622626423836,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
30,1.8824086263775826,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
31,1.9779143258929253,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
32,1.8218868970870972,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
33,1.8019157461822033,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
34,2.059329677373171,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
35,2.1120298095047474,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
36,1.9103392101824284,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
37,1.6212256290018559,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
38,2.073310412466526,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
39,1.5701388716697693,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
40,1.5141409151256084,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
41,1.6196283772587776,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
42,1.8543374948203564,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
43,2.099972188472748,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
44,1.6494935490190983,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
45,1.6482047699391842,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
46,1.6776689365506172,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
47,1.8008448854088783,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
48,1.7207823246717453,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
49,1.7786074914038181,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
50,2.148990336805582,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
51,1.7874366007745266,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
52,2.3706561252474785,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
53,1.9062649458646774,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
54,1.7953017838299274,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
55,1.7335389778017998,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
56,1.585713442414999,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
57,1.6204311400651932,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
58,1.6077760197222233,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
59,2.051387518644333,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
60,1.9459964483976364,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
61,1.7163944318890572,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
62,1.6103095151484013,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
63,1.6868366673588753,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
64,2.0378264486789703,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
65,1.9006139561533928,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
66,1.8133969977498055,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
67,1.6311778984963894,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
68,1.8577156998217106,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
69,1.60343312099576,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
70,1.6480436697602272,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
71,1.8357050605118275,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
72,1.5547774657607079,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
73,1.6208456605672836,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
74,1.5389271415770054,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
75,1.6432413905858994,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
76,2.0036895759403706,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
77,1.9832192622125149,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
78,1.573754422366619,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
79,1.755698338150978,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
80,1.7830218560993671,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
81,1.58266269415617,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
82,1.6024508960545063,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
83,2.111391816288233,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
84,1.6846821084618568,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
85,1.5457881577312946,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
86,1.619877502322197,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
87,1.7142012901604176,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
88,1.6320637427270412,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
89,1.967610165476799,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
90,2.035030994564295,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
91,2.1274352855980396,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
92,1.8872004002332687,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
93,2.0448673851788044,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
94,1.9089489839971066,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
95,1.6287748143076897,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
96,1.6206851862370968,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
97,1.6653259992599487,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
98,2.0169809833168983,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
99,1.663604199886322,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
