image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,0.9644624292850494,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
1,0.9695309847593307,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
2,0.962500549852848,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
3,1.0907936356961727,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
4,0.9356600865721703,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
5,0.9371174648404121,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
6,0.9532188065350056,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
7,0.9806546121835709,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
8,0.9502816163003445,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
9,0.9008343443274498,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
10,0.9355432540178299,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
11,0.9318558983504772,11.96875,0.19140625,LIME,efficientnet-b0,STL10,1
12,0.9325375445187092,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
13,0.9642938114702702,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
14,0.9851795844733715,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
15,1.2138233855366707,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
16,0.987585324794054,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
17,1.0132055804133415,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
18,1.0274025239050388,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
19,1.0436491817235947,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
20,0.9655773341655731,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
21,1.0364372394979,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
22,0.9854930490255356,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
23,0.9202507734298706,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
24,0.9349067769944668,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
25,0.9096952639520168,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
26,0.9501884691417217,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
27,0.9457518868148327,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
28,0.9338129535317421,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
29,0.8889645226299763,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
30,0.9042793288826942,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
31,0.96894646063447,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
32,0.945248082280159,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
33,1.0613995306193829,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
34,1.0384736321866512,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
35,0.983222097158432,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
36,0.9663265086710453,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
37,0.9302362240850925,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
38,0.9707027934491634,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
39,0.9355354607105255,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
40,1.0505760051310062,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
41,0.914182260632515,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
42,0.9686439037322998,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
43,0.917078897356987,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
44,0.920336727052927,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
45,0.9388572014868259,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
46,1.0717259123921394,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
47,0.9026884660124779,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
48,0.9551242105662823,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
49,0.9703752249479294,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
50,0.9474057704210281,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
51,0.9508658945560455,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
52,1.003114067018032,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
53,0.9322819858789444,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
54,0.9157649911940098,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
55,0.9045789763331413,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
56,0.9016356654465199,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
57,0.984266672283411,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
58,0.9759616553783417,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
59,0.958564855158329,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
60,0.9304714649915695,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
61,0.9171278774738312,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
62,1.0701105333864689,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
63,0.9290457144379616,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
64,0.9413167648017406,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
65,1.0453401766717434,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
66,0.9351196102797985,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
67,0.8944264389574528,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
68,0.938176017254591,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
69,0.9256318286061287,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
70,0.9542068317532539,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
71,0.922602403908968,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
72,0.8898275941610336,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
73,0.9578448869287968,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
74,0.9279325269162655,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
75,0.86039599776268,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
76,0.9703031107783318,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
77,0.8679879754781723,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
78,0.9476400874555111,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
79,1.0194216780364513,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
80,0.9737053848803043,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
81,1.0819254592061043,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
82,0.9915968626737595,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
83,0.9152291342616081,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
84,0.9781169332563877,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
85,0.9281123504042625,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
86,0.8984353877604008,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
87,0.896235428750515,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
88,0.930535551160574,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
89,0.9130607210099697,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
90,0.9310346990823746,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
91,0.9503432549536228,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
92,0.9131874591112137,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
93,0.8558828644454479,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
94,0.9400369711220264,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
95,0.9340842552483082,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
96,0.9146138094365597,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
97,1.0314659141004086,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
98,0.9438290819525719,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
99,0.9267769865691662,12.017578125,0.19140625,LIME,efficientnet-b0,STL10,1
