image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,1.9740292690694332,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
1,1.9413074664771557,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
2,2.003361150622368,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
3,1.8859632909297943,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
4,1.8608723543584347,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
5,1.8941456750035286,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
6,1.8816836923360825,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
7,1.975762277841568,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
8,1.8874961845576763,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
9,2.0259457044303417,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
10,1.9732708260416985,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
11,1.889754705131054,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
12,1.9558222740888596,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
13,1.86922063305974,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
14,1.989935539662838,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
15,1.9553907327353954,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
16,1.9916510991752148,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
17,1.992686152458191,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
18,1.984245903789997,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
19,1.9820453822612762,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
20,1.9079804867506027,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
21,1.9535191506147385,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
22,1.9095999039709568,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
23,1.9465697593986988,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
24,1.9525267779827118,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
25,1.910441156476736,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
26,1.908163271844387,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
27,1.9299747124314308,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
28,1.9215529784560204,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
29,1.863776795566082,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
30,1.9415671080350876,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
31,1.9547905251383781,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
32,1.9355105832219124,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
33,1.8703247606754303,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
34,1.867667566984892,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
35,1.8993029408156872,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
36,2.1237120553851128,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
37,1.9174438677728176,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
38,1.8904405385255814,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
39,2.082277148962021,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
40,1.8679278008639812,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
41,1.892104871571064,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
42,1.8866292499005795,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
43,1.8597306609153748,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
44,1.9021037481725216,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
45,1.8826945908367634,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
46,2.0216464810073376,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
47,1.9527091309428215,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
48,1.9040618501603603,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
49,1.8892398327589035,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
50,1.8925849124789238,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
51,2.0899168886244297,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
52,1.9487074054777622,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
53,1.8913078680634499,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
54,1.8957026861608028,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
55,1.8936786465346813,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
56,1.9500188529491425,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
57,1.907303985208273,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
58,1.9082131795585155,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
59,1.9421817995607853,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
60,1.921755112707615,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
61,1.894229020923376,12.705078125,0.19140625,LIME,resnet50,CIFAR10,1
