image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,1.8485578447580338,13.017578125,0.19140625,LIME,resnet50,ImageNet,1
1,1.888598207384348,13.017578125,0.19140625,LIME,resnet50,ImageNet,1
2,1.8568858243525028,13.017578125,0.19140625,LIME,resnet50,ImageNet,1
3,1.8556786887347698,13.017578125,0.19140625,LIME,resnet50,ImageNet,1
4,1.9247806034982204,13.017578125,0.19140625,LIME,resnet50,ImageNet,1
5,1.8989983461797237,13.017578125,0.19140625,LIME,resnet50,ImageNet,1
6,1.9067140892148018,12.96875,0.19140625,LIME,resnet50,ImageNet,1
7,1.8580410070717335,12.96875,0.19140625,LIME,resnet50,ImageNet,1
8,1.8789714574813843,13.017578125,0.19140625,LIME,resnet50,ImageNet,1
9,1.8732175529003143,12.96875,0.19140625,LIME,resnet50,ImageNet,1
10,1.8479348421096802,13.017578125,0.19140625,LIME,resnet50,ImageNet,1
11,1.8846031613647938,13.017578125,0.19140625,LIME,resnet50,ImageNet,1
12,1.9108989723026752,13.017578125,0.19140625,LIME,resnet50,ImageNet,1
13,1.934767946600914,13.017578125,0.19140625,LIME,resnet50,ImageNet,1
14,1.945473413914442,13.017578125,0.19140625,LIME,resnet50,ImageNet,1
15,1.8712443672120571,13.017578125,0.19140625,LIME,resnet50,ImageNet,1
16,1.9170590229332447,13.017578125,0.19140625,LIME,resnet50,ImageNet,1
17,1.9502730518579483,13.017578125,0.19140625,LIME,resnet50,ImageNet,1
18,1.936515036970377,12.96875,0.19140625,LIME,resnet50,ImageNet,1
19,1.8566248640418053,13.017578125,0.19140625,LIME,resnet50,ImageNet,1
20,1.8600366786122322,13.017578125,0.19140625,LIME,resnet50,ImageNet,1
21,1.8965903893113136,13.017578125,0.19140625,LIME,resnet50,ImageNet,1
22,1.9065315909683704,13.017578125,0.19140625,LIME,resnet50,ImageNet,1
23,1.8830095306038857,13.017578125,0.19140625,LIME,resnet50,ImageNet,1
24,1.8906296007335186,13.017578125,0.19140625,LIME,resnet50,ImageNet,1
25,1.918063685297966,13.017578125,0.19140625,LIME,resnet50,ImageNet,1
26,1.9362471215426922,12.96875,0.19140625,LIME,resnet50,ImageNet,1
27,1.9132992625236511,13.017578125,0.19140625,LIME,resnet50,ImageNet,1
28,1.9436971433460712,13.017578125,0.19140625,LIME,resnet50,ImageNet,1
29,1.8874773383140564,13.017578125,0.19140625,LIME,resnet50,ImageNet,1
30,1.8851837031543255,13.017578125,0.19140625,LIME,resnet50,ImageNet,1
31,1.8874477744102478,13.017578125,0.19140625,LIME,resnet50,ImageNet,1
