image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,1.8816214315593243,13.892578125,0.19140625,LIME,resnet50,STL10,1
1,1.9129963517189026,13.892578125,0.19140625,LIME,resnet50,STL10,1
2,1.9267659150063992,13.892578125,0.19140625,LIME,resnet50,STL10,1
3,1.8920189999043941,13.892578125,0.19140625,LIME,resnet50,STL10,1
4,1.8547800667583942,13.892578125,0.19140625,LIME,resnet50,STL10,1
5,1.9849637523293495,13.892578125,0.19140625,LIME,resnet50,STL10,1
6,1.890663705766201,13.892578125,0.19140625,LIME,resnet50,STL10,1
7,1.8776376694440842,13.84375,0.19140625,LIME,resnet50,STL10,1
8,1.8821347653865814,13.892578125,0.19140625,LIME,resnet50,STL10,1
9,1.8940681926906109,13.892578125,0.19140625,LIME,resnet50,STL10,1
10,1.864318910986185,13.892578125,0.19140625,LIME,resnet50,STL10,1
11,2.0037607848644257,13.892578125,0.19140625,LIME,resnet50,STL10,1
12,1.989305891096592,13.892578125,0.19140625,LIME,resnet50,STL10,1
13,1.960222203284502,13.892578125,0.19140625,LIME,resnet50,STL10,1
14,1.888356488198042,13.892578125,0.19140625,LIME,resnet50,STL10,1
15,1.8811292685568333,13.892578125,0.19140625,LIME,resnet50,STL10,1
16,1.8709691539406776,13.892578125,0.19140625,LIME,resnet50,STL10,1
17,1.9881984405219555,13.892578125,0.19140625,LIME,resnet50,STL10,1
18,1.9642113111913204,13.892578125,0.19140625,LIME,resnet50,STL10,1
19,2.000119347125292,13.892578125,0.19140625,LIME,resnet50,STL10,1
20,1.9148571379482746,13.892578125,0.19140625,LIME,resnet50,STL10,1
21,1.9017318300902843,13.892578125,0.19140625,LIME,resnet50,STL10,1
22,2.032588515430689,13.892578125,0.19140625,LIME,resnet50,STL10,1
23,1.899339471012354,13.892578125,0.19140625,LIME,resnet50,STL10,1
24,1.877475380897522,13.892578125,0.19140625,LIME,resnet50,STL10,1
25,1.8625632673501968,13.892578125,0.19140625,LIME,resnet50,STL10,1
26,1.8647796176373959,13.892578125,0.19140625,LIME,resnet50,STL10,1
27,1.8809486217796803,13.892578125,0.19140625,LIME,resnet50,STL10,1
28,1.8550961427390575,13.892578125,0.19140625,LIME,resnet50,STL10,1
29,1.8710060119628906,13.892578125,0.19140625,LIME,resnet50,STL10,1
30,1.8663325496017933,13.892578125,0.19140625,LIME,resnet50,STL10,1
31,1.8713089004158974,13.892578125,0.19140625,LIME,resnet50,STL10,1
32,1.889271967113018,13.892578125,0.19140625,LIME,resnet50,STL10,1
33,1.9132902584969997,13.892578125,0.19140625,LIME,resnet50,STL10,1
34,1.915201935917139,13.892578125,0.19140625,LIME,resnet50,STL10,1
35,1.8820439353585243,13.892578125,0.19140625,LIME,resnet50,STL10,1
36,2.0199859775602818,13.892578125,0.19140625,LIME,resnet50,STL10,1
37,1.8757167160511017,13.892578125,0.19140625,LIME,resnet50,STL10,1
38,1.9231362789869308,13.892578125,0.19140625,LIME,resnet50,STL10,1
39,1.9878181107342243,13.892578125,0.19140625,LIME,resnet50,STL10,1
40,1.8621298931539059,13.892578125,0.19140625,LIME,resnet50,STL10,1
41,1.9385015033185482,13.892578125,0.19140625,LIME,resnet50,STL10,1
42,1.935977030545473,13.892578125,0.19140625,LIME,resnet50,STL10,1
43,2.025603950023651,13.892578125,0.19140625,LIME,resnet50,STL10,1
44,1.96697149425745,13.892578125,0.19140625,LIME,resnet50,STL10,1
45,1.9014252535998821,13.892578125,0.19140625,LIME,resnet50,STL10,1
46,1.8652105554938316,13.892578125,0.19140625,LIME,resnet50,STL10,1
47,1.8971139937639236,13.892578125,0.19140625,LIME,resnet50,STL10,1
48,1.9028912261128426,13.892578125,0.19140625,LIME,resnet50,STL10,1
49,1.894448172301054,13.892578125,0.19140625,LIME,resnet50,STL10,1
50,1.8771621063351631,13.892578125,0.19140625,LIME,resnet50,STL10,1
51,1.9234321154654026,13.892578125,0.19140625,LIME,resnet50,STL10,1
52,1.8953303769230843,13.892578125,0.19140625,LIME,resnet50,STL10,1
53,1.9115796573460102,13.892578125,0.19140625,LIME,resnet50,STL10,1
54,1.9774251841008663,13.892578125,0.19140625,LIME,resnet50,STL10,1
55,1.8876921311020851,13.892578125,0.19140625,LIME,resnet50,STL10,1
56,2.013987373560667,13.892578125,0.19140625,LIME,resnet50,STL10,1
57,1.9307721965014935,13.892578125,0.19140625,LIME,resnet50,STL10,1
58,1.9689872115850449,13.892578125,0.19140625,LIME,resnet50,STL10,1
59,1.9624342992901802,13.892578125,0.19140625,LIME,resnet50,STL10,1
60,1.93355667963624,13.892578125,0.19140625,LIME,resnet50,STL10,1
61,1.9847877025604248,13.892578125,0.19140625,LIME,resnet50,STL10,1
62,1.9328226745128632,13.892578125,0.19140625,LIME,resnet50,STL10,1
63,1.8581785522401333,13.892578125,0.19140625,LIME,resnet50,STL10,1
64,1.8958550542593002,13.892578125,0.19140625,LIME,resnet50,STL10,1
65,2.0356850251555443,13.892578125,0.19140625,LIME,resnet50,STL10,1
66,1.9062074944376945,13.892578125,0.19140625,LIME,resnet50,STL10,1
67,1.8841307014226913,13.892578125,0.19140625,LIME,resnet50,STL10,1
68,1.966698084026575,13.892578125,0.19140625,LIME,resnet50,STL10,1
69,1.936294924467802,13.892578125,0.19140625,LIME,resnet50,STL10,1
70,1.8874955773353577,13.892578125,0.19140625,LIME,resnet50,STL10,1
71,1.8728838004171848,13.892578125,0.19140625,LIME,resnet50,STL10,1
72,1.8953815586864948,13.892578125,0.19140625,LIME,resnet50,STL10,1
73,1.936363559216261,13.892578125,0.19140625,LIME,resnet50,STL10,1
74,1.9196657538414001,13.892578125,0.19140625,LIME,resnet50,STL10,1
75,1.9377387054264545,13.892578125,0.19140625,LIME,resnet50,STL10,1
76,2.0277798511087894,13.892578125,0.19140625,LIME,resnet50,STL10,1
77,2.020518511533737,13.892578125,0.19140625,LIME,resnet50,STL10,1
78,2.057617712765932,13.892578125,0.19140625,LIME,resnet50,STL10,1
79,2.008081704378128,13.892578125,0.19140625,LIME,resnet50,STL10,1
80,1.9364819675683975,13.892578125,0.19140625,LIME,resnet50,STL10,1
81,1.9387244507670403,13.892578125,0.19140625,LIME,resnet50,STL10,1
82,1.8791434615850449,13.892578125,0.19140625,LIME,resnet50,STL10,1
83,1.8870074786245823,13.892578125,0.19140625,LIME,resnet50,STL10,1
84,1.925606731325388,13.892578125,0.19140625,LIME,resnet50,STL10,1
85,1.8841401599347591,13.892578125,0.19140625,LIME,resnet50,STL10,1
86,1.8634578213095665,13.892578125,0.19140625,LIME,resnet50,STL10,1
87,1.9506809562444687,13.892578125,0.19140625,LIME,resnet50,STL10,1
88,1.8885801509022713,13.892578125,0.19140625,LIME,resnet50,STL10,1
89,1.9013889729976654,13.892578125,0.19140625,LIME,resnet50,STL10,1
90,1.9703094400465488,13.892578125,0.19140625,LIME,resnet50,STL10,1
91,1.9343133084475994,13.892578125,0.19140625,LIME,resnet50,STL10,1
92,1.8556196428835392,13.892578125,0.19140625,LIME,resnet50,STL10,1
93,1.8818785473704338,13.892578125,0.19140625,LIME,resnet50,STL10,1
94,1.866195686161518,13.892578125,0.19140625,LIME,resnet50,STL10,1
95,1.9031586162745953,13.892578125,0.19140625,LIME,resnet50,STL10,1
96,1.8800748959183693,13.892578125,0.19140625,LIME,resnet50,STL10,1
97,1.8790823929011822,13.892578125,0.19140625,LIME,resnet50,STL10,1
98,1.896493412554264,13.892578125,0.19140625,LIME,resnet50,STL10,1
99,1.9337622784078121,13.892578125,0.19140625,LIME,resnet50,STL10,1
