image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,2.2545717284083366,29.404296875,0.19140625,LIME,resnet50,STL10,1
1,2.2888589538633823,29.404296875,0.19140625,LIME,resnet50,STL10,1
2,2.266032673418522,29.404296875,0.19140625,LIME,resnet50,STL10,1
3,2.2523234747350216,29.404296875,0.19140625,LIME,resnet50,STL10,1
4,2.258393794298172,29.404296875,0.19140625,LIME,resnet50,STL10,1
5,2.213219814002514,29.404296875,0.19140625,LIME,resnet50,STL10,1
6,2.2679789178073406,29.404296875,0.19140625,LIME,resnet50,STL10,1
7,2.254755236208439,29.404296875,0.19140625,LIME,resnet50,STL10,1
8,2.2719398736953735,29.404296875,0.19140625,LIME,resnet50,STL10,1
9,2.2633977234363556,29.404296875,0.19140625,LIME,resnet50,STL10,1
10,2.256413508206606,29.404296875,0.19140625,LIME,resnet50,STL10,1
11,2.266318291425705,29.404296875,0.19140625,LIME,resnet50,STL10,1
12,2.271187487989664,29.404296875,0.19140625,LIME,resnet50,STL10,1
13,2.273009419441223,29.404296875,0.19140625,LIME,resnet50,STL10,1
14,2.263748809695244,29.404296875,0.19140625,LIME,resnet50,STL10,1
15,2.2715703658759594,29.404296875,0.19140625,LIME,resnet50,STL10,1
16,2.259446058422327,29.404296875,0.19140625,LIME,resnet50,STL10,1
17,2.278935421258211,29.404296875,0.19140625,LIME,resnet50,STL10,1
18,2.290018942207098,29.404296875,0.19140625,LIME,resnet50,STL10,1
19,2.2764970660209656,29.404296875,0.19140625,LIME,resnet50,STL10,1
20,2.1641995199024677,29.404296875,0.19140625,LIME,resnet50,STL10,1
21,2.271284744143486,29.404296875,0.19140625,LIME,resnet50,STL10,1
22,2.167083077132702,29.404296875,0.19140625,LIME,resnet50,STL10,1
23,2.270016834139824,29.404296875,0.19140625,LIME,resnet50,STL10,1
24,2.1968455612659454,29.404296875,0.19140625,LIME,resnet50,STL10,1
25,2.2566304989159107,29.404296875,0.19140625,LIME,resnet50,STL10,1
26,2.2450348995625973,29.404296875,0.19140625,LIME,resnet50,STL10,1
27,2.2642865404486656,29.404296875,0.19140625,LIME,resnet50,STL10,1
28,2.2411154061555862,29.404296875,0.19140625,LIME,resnet50,STL10,1
29,2.2574990689754486,29.404296875,0.19140625,LIME,resnet50,STL10,1
30,2.245500050485134,29.404296875,0.19140625,LIME,resnet50,STL10,1
31,2.2593563832342625,29.404296875,0.19140625,LIME,resnet50,STL10,1
32,2.2474238462746143,29.404296875,0.19140625,LIME,resnet50,STL10,1
33,2.249530043452978,29.404296875,0.19140625,LIME,resnet50,STL10,1
34,2.204702217131853,29.404296875,0.19140625,LIME,resnet50,STL10,1
35,2.2429806403815746,29.404296875,0.19140625,LIME,resnet50,STL10,1
36,2.2568237259984016,29.404296875,0.19140625,LIME,resnet50,STL10,1
37,2.237652901560068,29.404296875,0.19140625,LIME,resnet50,STL10,1
38,2.2714232690632343,29.404296875,0.19140625,LIME,resnet50,STL10,1
39,2.2520009316504,29.404296875,0.19140625,LIME,resnet50,STL10,1
40,2.2719119153916836,29.404296875,0.19140625,LIME,resnet50,STL10,1
41,2.266659252345562,29.404296875,0.19140625,LIME,resnet50,STL10,1
42,2.262917894870043,29.404296875,0.19140625,LIME,resnet50,STL10,1
43,2.266752451658249,29.404296875,0.19140625,LIME,resnet50,STL10,1
44,2.284276895225048,29.404296875,0.19140625,LIME,resnet50,STL10,1
45,2.2639768421649933,29.404296875,0.19140625,LIME,resnet50,STL10,1
46,2.2629737742245197,29.404296875,0.19140625,LIME,resnet50,STL10,1
47,2.2761936224997044,29.404296875,0.19140625,LIME,resnet50,STL10,1
48,2.2759777791798115,29.404296875,0.19140625,LIME,resnet50,STL10,1
49,2.2481584511697292,29.404296875,0.19140625,LIME,resnet50,STL10,1
50,2.2718248516321182,29.404296875,0.19140625,LIME,resnet50,STL10,1
51,2.2652576453983784,29.404296875,0.19140625,LIME,resnet50,STL10,1
52,2.2679017819464207,29.404296875,0.19140625,LIME,resnet50,STL10,1
53,2.2555580474436283,29.404296875,0.19140625,LIME,resnet50,STL10,1
54,2.2603212483227253,29.404296875,0.19140625,LIME,resnet50,STL10,1
55,2.2377249486744404,29.404296875,0.19140625,LIME,resnet50,STL10,1
56,2.266754861921072,29.404296875,0.19140625,LIME,resnet50,STL10,1
57,2.2491683065891266,29.404296875,0.19140625,LIME,resnet50,STL10,1
58,2.2645987048745155,29.404296875,0.19140625,LIME,resnet50,STL10,1
59,2.2520446702837944,29.404296875,0.19140625,LIME,resnet50,STL10,1
60,2.2366043254733086,29.404296875,0.19140625,LIME,resnet50,STL10,1
61,2.2580967396497726,29.404296875,0.19140625,LIME,resnet50,STL10,1
62,1.0414427667856216,29.404296875,0.19140625,LIME,resnet50,STL10,1
63,1.0292238369584084,29.404296875,0.19140625,LIME,resnet50,STL10,1
64,1.0283177495002747,29.404296875,0.19140625,LIME,resnet50,STL10,1
65,1.026562049984932,29.404296875,0.19140625,LIME,resnet50,STL10,1
66,1.8724596314132214,29.404296875,0.19140625,LIME,resnet50,STL10,1
67,2.2648455426096916,29.404296875,0.19140625,LIME,resnet50,STL10,1
68,2.245981026440859,29.404296875,0.19140625,LIME,resnet50,STL10,1
69,2.2539249658584595,29.404296875,0.19140625,LIME,resnet50,STL10,1
70,2.246121861040592,29.404296875,0.19140625,LIME,resnet50,STL10,1
71,2.164447098970413,29.404296875,0.19140625,LIME,resnet50,STL10,1
72,2.241806197911501,29.404296875,0.19140625,LIME,resnet50,STL10,1
73,2.107739429920912,29.404296875,0.19140625,LIME,resnet50,STL10,1
74,2.1888333037495613,29.404296875,0.19140625,LIME,resnet50,STL10,1
75,2.260222028940916,29.404296875,0.19140625,LIME,resnet50,STL10,1
76,2.145203199237585,29.404296875,0.19140625,LIME,resnet50,STL10,1
77,2.2545864060521126,29.404296875,0.19140625,LIME,resnet50,STL10,1
78,2.2507602982223034,29.404296875,0.19140625,LIME,resnet50,STL10,1
79,2.247424043715,29.404296875,0.19140625,LIME,resnet50,STL10,1
80,2.2593403719365597,29.404296875,0.19140625,LIME,resnet50,STL10,1
81,2.203834190964699,29.404296875,0.19140625,LIME,resnet50,STL10,1
82,2.1593315824866295,29.404296875,0.19140625,LIME,resnet50,STL10,1
83,2.2391126975417137,29.404296875,0.19140625,LIME,resnet50,STL10,1
84,2.246831588447094,29.404296875,0.19140625,LIME,resnet50,STL10,1
85,2.2344074696302414,29.404296875,0.19140625,LIME,resnet50,STL10,1
86,2.243942767381668,29.35546875,0.19140625,LIME,resnet50,STL10,1
87,2.166882049292326,29.404296875,0.19140625,LIME,resnet50,STL10,1
88,2.2444114089012146,29.404296875,0.19140625,LIME,resnet50,STL10,1
89,1.0415971502661705,29.404296875,0.19140625,LIME,resnet50,STL10,1
