image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,1.1435843519866467,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
1,1.1371950320899487,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
2,1.1314572542905807,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
3,1.1384156458079815,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
4,1.1330223344266415,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
5,1.1342933550477028,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
6,1.1347377933561802,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
7,1.1248344741761684,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
8,1.1459864154458046,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
9,1.1754977107048035,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
10,1.173846647143364,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
11,1.1707544662058353,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
12,1.1806880682706833,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
13,1.2012979052960873,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
14,1.2091243267059326,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
15,1.2526512145996094,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
16,1.3298243172466755,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
17,1.310385338962078,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
18,1.3081006929278374,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
19,1.3136050142347813,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
20,1.3283262811601162,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
21,1.3849193453788757,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
22,1.5145782344043255,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
23,1.6252720542252064,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
24,1.7194618061184883,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
25,1.7025017403066158,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
26,2.076612889766693,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
27,2.236503589898348,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
28,2.213994789868593,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
29,4.440778065472841,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
30,2.621498916298151,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
31,4.836285952478647,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
32,4.808246407657862,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
33,4.788770508021116,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
34,4.827207464724779,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
35,4.818754393607378,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
36,4.788506671786308,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
37,4.827462960034609,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
38,4.795827902853489,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
39,4.821447849273682,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
40,4.825732208788395,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
41,4.817627940326929,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
42,4.817944560199976,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
43,4.8238785825669765,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
44,4.843452222645283,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
45,4.81620791181922,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
46,4.821141183376312,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
47,4.84396306425333,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
48,4.831909608095884,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
49,4.8286535777151585,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
50,4.828434016555548,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
51,4.363281521946192,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
52,4.985154714435339,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
53,4.970173589885235,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
54,4.9739724062383175,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
55,4.962697096168995,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
56,4.977920100092888,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
57,4.957256563007832,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
58,4.967788591980934,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
59,4.985776215791702,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
60,4.967469774186611,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
61,4.958062626421452,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
62,4.979984071105719,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
63,4.966448023915291,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
64,4.968389354646206,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
65,4.9652995355427265,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
66,4.975503947585821,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
67,4.960492681711912,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
68,4.972001984715462,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
69,4.950440336018801,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
70,4.972328312695026,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
71,4.961996018886566,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
72,4.970904476940632,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
73,4.953421961516142,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
74,4.9733335711061954,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
75,4.95513729006052,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
76,4.965628821402788,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
77,4.965857915580273,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
78,4.966670852154493,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
79,4.959963269531727,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
80,4.977301239967346,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
81,4.9684932716190815,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
82,4.978697635233402,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
83,4.966148402541876,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
84,4.975043777376413,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
85,4.94977143779397,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
86,4.97101541981101,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
87,4.954741220921278,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
88,4.979032952338457,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
89,4.962593626230955,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
90,4.964726600795984,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
91,4.956366617232561,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
92,4.97301996126771,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
93,4.958180446177721,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
94,4.97338081151247,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
95,4.961158644407988,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
96,4.970986161381006,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
97,5.023936465382576,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
98,5.0859549306333065,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
99,5.1294278390705585,10.1337890625,0.19140625,LIME,vit-b-16,CIFAR10,1
