image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,4.537860419601202,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
1,4.564757566899061,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
2,4.542453501373529,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
3,4.568224832415581,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
4,4.577965844422579,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
5,4.583231840282679,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
6,4.628164146095514,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
7,4.58598879724741,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
8,4.585454139858484,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
9,4.600209161639214,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
10,4.627607062458992,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
11,4.5961396135389805,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
12,4.607194468379021,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
13,4.605649214237928,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
14,4.6082269959151745,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
15,4.606339164078236,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
16,4.588770240545273,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
17,4.583084844052792,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
18,4.621493615210056,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
19,4.635630469769239,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
20,4.651944063603878,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
21,4.6310737654566765,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
22,4.638432327657938,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
23,4.606740221381187,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
24,4.624973237514496,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
25,4.636692266911268,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
26,4.656416557729244,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
27,4.624465774744749,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
28,4.61200886964798,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
29,4.604556281119585,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
30,4.602516245096922,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
31,4.659167647361755,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
32,4.6373890824615955,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
33,4.623312953859568,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
34,4.637005414813757,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
35,4.594936013221741,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
36,4.623056553304195,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
37,4.607557911425829,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
38,4.620696019381285,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
39,4.597338553518057,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
40,4.6156963147223,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
41,4.617594465613365,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
42,4.635194208472967,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
43,4.633580025285482,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
44,4.6348954774439335,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
45,4.634980086237192,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
46,4.6800198666751385,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
47,4.695987332612276,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
48,4.632972106337547,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
49,4.6194008737802505,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
50,4.644031215459108,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
51,4.635645616799593,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
52,4.657945651561022,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
53,4.638315752148628,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
54,4.632611207664013,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
55,4.619284711778164,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
56,4.60993380472064,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
57,4.6185750141739845,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
58,4.625155180692673,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
59,4.640171509236097,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
60,4.640117533504963,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
61,4.6365494057536125,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
62,4.657134138047695,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
63,4.628990922123194,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
64,4.639159686863422,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
65,4.627039987593889,9.5185546875,0.19140625,LIME,vit-b-16,STL10,1
66,4.637224517762661,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
67,4.6268426068127155,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
68,4.65166998654604,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
69,4.648095320910215,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
70,4.647502809762955,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
71,4.653201308101416,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
72,4.675301767885685,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
73,4.6339756809175014,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
74,4.682600826025009,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
75,4.615849584341049,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
76,4.607331097126007,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
77,4.631174851208925,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
78,4.6556855998933315,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
79,4.645813141018152,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
80,4.621518891304731,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
81,4.6280578672885895,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
82,4.634391166269779,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
83,4.647094435989857,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
84,4.607311423867941,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
85,4.625125754624605,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
86,4.606851149350405,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
87,4.613629389554262,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
88,4.620818056166172,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
89,4.655046585947275,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
90,4.632797501981258,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
91,4.62114067748189,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
92,4.64031545072794,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
93,4.614396318793297,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
94,4.629831686615944,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
95,4.628573313355446,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
96,4.607786413282156,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
97,4.662721563130617,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
98,4.699828963726759,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
99,4.637841183692217,9.5673828125,0.19140625,LIME,vit-b-16,STL10,1
