image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,39.2968211658299,13.77880859375,0.19140625,Morris_Sensitivity_Analysis,convnext-t,CIFAR10,1
1,33.5657251663506,13.77880859375,0.19140625,Morris_Sensitivity_Analysis,convnext-t,CIFAR10,1
2,32.79723071306944,13.77880859375,0.19140625,Morris_Sensitivity_Analysis,convnext-t,CIFAR10,1
3,37.54776772856712,13.77880859375,0.19140625,Morris_Sensitivity_Analysis,convnext-t,CIFAR10,1
4,33.907937210053205,13.77880859375,0.19140625,Morris_Sensitivity_Analysis,convnext-t,CIFAR10,1
5,29.973317712545395,13.77880859375,0.19140625,Morris_Sensitivity_Analysis,convnext-t,CIFAR10,1
6,34.59077090770006,13.77880859375,0.19140625,Morris_Sensitivity_Analysis,convnext-t,CIFAR10,1
7,33.9180823713541,13.77880859375,0.19140625,Morris_Sensitivity_Analysis,convnext-t,CIFAR10,1
8,32.436723828315735,13.77880859375,0.19140625,Morris_Sensitivity_Analysis,convnext-t,CIFAR10,1
9,31.894514858722687,13.77880859375,0.19140625,Morris_Sensitivity_Analysis,convnext-t,CIFAR10,1
