image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,64.143430121243,10.97021484375,0.19140625,Morris_Sensitivity_Analysis,densenet121,CIFAR10,1
1,64.36767801269889,10.97021484375,0.19140625,Morris_Sensitivity_Analysis,densenet121,CIFAR10,1
2,67.19686652719975,10.97021484375,0.19140625,Morris_Sensitivity_Analysis,densenet121,CIFAR10,1
3,64.65689069405198,10.97021484375,0.19140625,Morris_Sensitivity_Analysis,densenet121,CIFAR10,1
4,64.55334569141269,10.97021484375,0.19140625,Morris_Sensitivity_Analysis,densenet121,CIFAR10,1
5,65.49397744610906,10.97021484375,0.19140625,Morris_Sensitivity_Analysis,densenet121,CIFAR10,1
6,65.6774314828217,10.97021484375,0.19140625,Morris_Sensitivity_Analysis,densenet121,CIFAR10,1
7,64.09211983904243,10.97021484375,0.19140625,Morris_Sensitivity_Analysis,densenet121,CIFAR10,1
8,66.52947483584285,10.97021484375,0.19140625,Morris_Sensitivity_Analysis,densenet121,CIFAR10,1
9,63.70912962779403,10.97021484375,0.19140625,Morris_Sensitivity_Analysis,densenet121,CIFAR10,1
