image_index,time,peak_memory,net_memory_change,method,model,dataset,run_number
0,13.222095807082951,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,ImageNet,1
1,13.161273011937737,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,ImageNet,1
2,13.2583531672135,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,ImageNet,1
3,13.174803950125352,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,ImageNet,1
4,13.242162794107571,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,ImageNet,1
5,13.19772184593603,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,ImageNet,1
6,13.174965395126492,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,ImageNet,1
7,13.150205936050043,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,ImageNet,1
8,13.153502909000963,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,ImageNet,1
9,13.270142890978605,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,ImageNet,1
10,13.177540398901328,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,ImageNet,1
11,13.21801059693098,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,ImageNet,1
12,13.288671019952744,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,ImageNet,1
13,13.211153807817027,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,ImageNet,1
14,13.20524394698441,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,ImageNet,1
15,13.214796005981043,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,ImageNet,1
16,13.174320227000862,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,ImageNet,1
17,13.1591034559533,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,ImageNet,1
18,13.287740720901638,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,ImageNet,1
19,13.159221223089844,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,ImageNet,1
20,13.2380077438429,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,ImageNet,1
21,13.185206247027963,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,ImageNet,1
22,13.214937039883807,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,ImageNet,1
23,13.218318335944787,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,ImageNet,1
24,13.18718758202158,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,ImageNet,1
25,13.18141697300598,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,ImageNet,1
26,13.162988437106833,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,ImageNet,1
27,13.263730240985751,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,ImageNet,1
28,13.160744750872254,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,ImageNet,1
29,13.225604178849608,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,ImageNet,1
30,13.189076834125444,134.23974609375,0.19140625,Morris_Sensitivity_Analysis,efficientnet-b0,ImageNet,1
